session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-44","cuteness_rating","cuteness","1","2076","2077"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-45","cuteness_rating","cuteness","1","1066","1066"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-24","cuteness_rating","cuteness","1","744","744"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-15","cuteness_rating","cuteness","1","758","758"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-32","cuteness_rating","cuteness","1","639","639"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-47","cuteness_rating","cuteness","1","800","800"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-22","cuteness_rating","cuteness","1","2904","2904"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-27","cuteness_rating","cuteness","1","2949","2949"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-10","cuteness_rating","cuteness","1","740","740"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-35","cuteness_rating","cuteness","1","485","485"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-37","cuteness_rating","cuteness","1","732","732"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-43","cuteness_rating","cuteness","1","415","416"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-50","cuteness_rating","cuteness","1","438","439"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-11","cuteness_rating","cuteness","1","455","455"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-16","cuteness_rating","cuteness","1","451","451"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-30","cuteness_rating","cuteness","1","533","533"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-25","cuteness_rating","cuteness","1","481","481"
"session-1777427127398-024izu","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-33","cuteness_rating","cuteness","1","507","508"
