session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-39","cuteness_rating","cuteness","6","3961","3961"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-30","cuteness_rating","cuteness","7","2714","2714"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-17","cuteness_rating","cuteness","5","1867","1868"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-23","cuteness_rating","cuteness","6","1650","1650"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-32","cuteness_rating","cuteness","6","1698","1698"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-37","cuteness_rating","cuteness","5","1717","1717"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-16","cuteness_rating","cuteness","7","1471","1471"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-42","cuteness_rating","cuteness","5","1944","1944"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-11","cuteness_rating","cuteness","6","2031","2031"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-48","cuteness_rating","cuteness","4","1629","1629"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-21","cuteness_rating","cuteness","6","1624","1624"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-40","cuteness_rating","cuteness","7","1970","1970"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-02","cuteness_rating","cuteness","6","1735","1735"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-44","cuteness_rating","cuteness","5","3005","3005"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-49","cuteness_rating","cuteness","7","1931","1931"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-13","cuteness_rating","cuteness","7","1233","1233"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-05","cuteness_rating","cuteness","6","1786","1786"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-27","cuteness_rating","cuteness","7","1993","1993"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-15","cuteness_rating","cuteness","5","2081","2081"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-33","cuteness_rating","cuteness","6","1873","1873"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-08","cuteness_rating","cuteness","6","1830","1831"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-03","cuteness_rating","cuteness","5","2706","2706"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-41","cuteness_rating","cuteness","5","2249","2250"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-22","cuteness_rating","cuteness","7","1479","1479"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-43","cuteness_rating","cuteness","5","1707","1708"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-19","cuteness_rating","cuteness","7","1376","1376"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-25","cuteness_rating","cuteness","6","1739","1739"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-50","cuteness_rating","cuteness","6","1743","1743"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-12","cuteness_rating","cuteness","6","1783","1783"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-47","cuteness_rating","cuteness","5","1427","1427"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-46","cuteness_rating","cuteness","4","1550","1550"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-36","cuteness_rating","cuteness","6","1840","1840"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-38","cuteness_rating","cuteness","5","2089","2089"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-14","cuteness_rating","cuteness","6","1306","1307"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-34","cuteness_rating","cuteness","6","1215","1215"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-07","cuteness_rating","cuteness","7","1519","1519"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-09","cuteness_rating","cuteness","6","1505","1505"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-29","cuteness_rating","cuteness","6","3969","3969"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-18","cuteness_rating","cuteness","6","1785","1785"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-31","cuteness_rating","cuteness","5","3629","3629"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-01","cuteness_rating","cuteness","5","2121","2121"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-20","cuteness_rating","cuteness","7","1786","1786"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-04","cuteness_rating","cuteness","7","1934","1934"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-35","cuteness_rating","cuteness","6","2038","2038"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-06","cuteness_rating","cuteness","6","1787","1787"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-10","cuteness_rating","cuteness","5","1801","1801"
"session-1777427128881-3zyipw","20","남성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-28","cuteness_rating","cuteness","6","3259","3259"
