session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-39","cuteness_rating","cuteness","1","4040","4040"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-06","cuteness_rating","cuteness","2","4897","4897"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-33","cuteness_rating","cuteness","1","2664","2664"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-48","cuteness_rating","cuteness","1","1802","1802"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-22","cuteness_rating","cuteness","3","3005","3007"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-21","cuteness_rating","cuteness","3","3244","3245"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-50","cuteness_rating","cuteness","1","2266","2266"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-17","cuteness_rating","cuteness","1","1719","1720"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-03","cuteness_rating","cuteness","1","1215","1215"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-05","cuteness_rating","cuteness","3","3273","3273"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-11","cuteness_rating","cuteness","1","2032","2033"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-28","cuteness_rating","cuteness","1","1299","1299"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-44","cuteness_rating","cuteness","1","1246","1246"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-15","cuteness_rating","cuteness","1","1951","1951"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-23","cuteness_rating","cuteness","1","1317","1318"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-19","cuteness_rating","cuteness","5","3465","3466"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-02","cuteness_rating","cuteness","1","2003","2004"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-20","cuteness_rating","cuteness","1","2024","2024"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-04","cuteness_rating","cuteness","2","2076","2076"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-10","cuteness_rating","cuteness","1","2913","2914"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-14","cuteness_rating","cuteness","1","1295","1295"
"session-1777427128886-gqg6ox","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-31","cuteness_rating","cuteness","1","1003","1003"
