session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-10","cuteness_rating","cuteness","1","1819","1819"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-08","cuteness_rating","cuteness","1","937","937"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-42","cuteness_rating","cuteness","1","629","629"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-03","cuteness_rating","cuteness","1","1101","1101"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-04","cuteness_rating","cuteness","1","854","854"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-34","cuteness_rating","cuteness","1","712","713"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-46","cuteness_rating","cuteness","1","616","616"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-37","cuteness_rating","cuteness","1","1704","1704"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-45","cuteness_rating","cuteness","1","679","679"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-33","cuteness_rating","cuteness","1","726","726"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-31","cuteness_rating","cuteness","1","539","539"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-41","cuteness_rating","cuteness","1","469","469"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-11","cuteness_rating","cuteness","1","459","459"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-28","cuteness_rating","cuteness","1","456","456"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-21","cuteness_rating","cuteness","1","419","419"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-18","cuteness_rating","cuteness","1","597","598"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-38","cuteness_rating","cuteness","1","618","619"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-47","cuteness_rating","cuteness","1","447","447"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-40","cuteness_rating","cuteness","1","571","572"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-23","cuteness_rating","cuteness","1","507","508"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-44","cuteness_rating","cuteness","1","1617","1617"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-13","cuteness_rating","cuteness","1","659","659"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-09","cuteness_rating","cuteness","1","639","639"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-24","cuteness_rating","cuteness","1","534","534"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-17","cuteness_rating","cuteness","1","541","541"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-05","cuteness_rating","cuteness","1","558","558"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-01","cuteness_rating","cuteness","1","494","494"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-07","cuteness_rating","cuteness","1","488","488"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-50","cuteness_rating","cuteness","1","633","633"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-12","cuteness_rating","cuteness","1","485","486"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-29","cuteness_rating","cuteness","1","480","480"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-48","cuteness_rating","cuteness","1","561","561"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-25","cuteness_rating","cuteness","1","482","482"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-02","cuteness_rating","cuteness","1","505","505"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-49","cuteness_rating","cuteness","1","521","521"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-06","cuteness_rating","cuteness","1","575","575"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-16","cuteness_rating","cuteness","1","460","460"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-19","cuteness_rating","cuteness","1","538","538"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-14","cuteness_rating","cuteness","1","483","483"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-36","cuteness_rating","cuteness","1","502","503"
"session-1777427129551-d58fw0","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-30","cuteness_rating","cuteness","1","648","648"
