session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-27","cuteness_rating","cuteness","3","3638","3638"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-43","cuteness_rating","cuteness","2","1500","1500"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-32","cuteness_rating","cuteness","2","1652","1652"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-16","cuteness_rating","cuteness","3","1604","1604"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-36","cuteness_rating","cuteness","3","1057","1057"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-09","cuteness_rating","cuteness","2","2603","2603"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-38","cuteness_rating","cuteness","4","1237","1237"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-13","cuteness_rating","cuteness","4","1564","1564"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-31","cuteness_rating","cuteness","5","1542","1542"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-39","cuteness_rating","cuteness","2","1463","1463"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-10","cuteness_rating","cuteness","3","1464","1464"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-19","cuteness_rating","cuteness","4","2503","2503"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-14","cuteness_rating","cuteness","3","1463","1463"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-47","cuteness_rating","cuteness","5","1590","1590"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-15","cuteness_rating","cuteness","4","1560","1560"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-22","cuteness_rating","cuteness","5","1110","1110"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-50","cuteness_rating","cuteness","4","1480","1480"
"session-1777427130268-2myuon","23","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-11","cuteness_rating","cuteness","2","2195","2195"
