session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-10","cuteness_rating","cuteness","5","5124","5124"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-15","cuteness_rating","cuteness","5","2880","2880"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-37","cuteness_rating","cuteness","6","5960","5960"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-22","cuteness_rating","cuteness","7","2561","2561"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-28","cuteness_rating","cuteness","7","1211","1211"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-17","cuteness_rating","cuteness","7","2357","2357"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-38","cuteness_rating","cuteness","2","3013","3013"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-03","cuteness_rating","cuteness","6","2918","2918"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-30","cuteness_rating","cuteness","4","4628","4629"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-12","cuteness_rating","cuteness","4","3173","3173"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-25","cuteness_rating","cuteness","6","3957","3957"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-05","cuteness_rating","cuteness","","","7002"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-34","cuteness_rating","cuteness","2","262","262"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-35","cuteness_rating","cuteness","3","5516","5516"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-50","cuteness_rating","cuteness","2","2301","2301"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-33","cuteness_rating","cuteness","5","4356","4356"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-19","cuteness_rating","cuteness","3","3226","3226"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-43","cuteness_rating","cuteness","2","1941","1941"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-04","cuteness_rating","cuteness","2","2333","2333"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-18","cuteness_rating","cuteness","3","2729","2729"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-32","cuteness_rating","cuteness","3","4955","4955"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-06","cuteness_rating","cuteness","1","3021","3021"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-39","cuteness_rating","cuteness","5","3658","3658"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-21","cuteness_rating","cuteness","3","2866","2866"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-49","cuteness_rating","cuteness","2","2307","2307"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-11","cuteness_rating","cuteness","3","2260","2260"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-01","cuteness_rating","cuteness","3","3648","3648"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-46","cuteness_rating","cuteness","1","1976","1976"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-40","cuteness_rating","cuteness","4","4183","4183"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-09","cuteness_rating","cuteness","5","2130","2130"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-45","cuteness_rating","cuteness","2","2021","2021"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-16","cuteness_rating","cuteness","4","3055","3055"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-29","cuteness_rating","cuteness","3","3590","3590"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-24","cuteness_rating","cuteness","3","3490","3491"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-26","cuteness_rating","cuteness","2","3498","3498"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-14","cuteness_rating","cuteness","4","2230","2230"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-42","cuteness_rating","cuteness","4","2288","2288"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-23","cuteness_rating","cuteness","5","3986","3986"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-31","cuteness_rating","cuteness","5","2025","2025"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-44","cuteness_rating","cuteness","3","2120","2121"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-48","cuteness_rating","cuteness","1","1881","1881"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-47","cuteness_rating","cuteness","2","1806","1806"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-07","cuteness_rating","cuteness","6","3023","3023"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-41","cuteness_rating","cuteness","3","2476","2476"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-27","cuteness_rating","cuteness","1","2006","2006"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-02","cuteness_rating","cuteness","4","4969","4969"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-36","cuteness_rating","cuteness","2","2497","2497"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-13","cuteness_rating","cuteness","4","2244","2244"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-08","cuteness_rating","cuteness","5","1902","1902"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-20","cuteness_rating","cuteness","3","2818","2818"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","13337","15346"
"session-1777427130948-p4ptlm","20","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","1","6267","7830"
