session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","1","cute-33","cuteness_rating","cuteness","7","2929","2929"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","2","cute-07","cuteness_rating","cuteness","7","1294","1294"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","3","cute-09","cuteness_rating","cuteness","7","928","928"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","4","cute-38","cuteness_rating","cuteness","7","2036","2036"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","5","cute-45","cuteness_rating","cuteness","7","942","942"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","6","cute-34","cuteness_rating","cuteness","7","1163","1163"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","7","cute-47","cuteness_rating","cuteness","7","768","768"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","8","cute-23","cuteness_rating","cuteness","6","2294","2294"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","9","cute-22","cuteness_rating","cuteness","7","1459","1459"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","10","cute-05","cuteness_rating","cuteness","7","2678","2678"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","11","cute-37","cuteness_rating","cuteness","6","1268","1268"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","12","cute-15","cuteness_rating","cuteness","7","1171","1171"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","13","cute-27","cuteness_rating","cuteness","7","1232","1232"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","14","cute-02","cuteness_rating","cuteness","7","1102","1102"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","15","cute-12","cuteness_rating","cuteness","7","1095","1095"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","16","cute-20","cuteness_rating","cuteness","7","987","987"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","17","cute-48","cuteness_rating","cuteness","6","2440","2440"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","18","cute-29","cuteness_rating","cuteness","7","1674","1674"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","19","cute-11","cuteness_rating","cuteness","7","889","889"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","20","cute-19","cuteness_rating","cuteness","7","1074","1075"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","21","cute-50","cuteness_rating","cuteness","5","1399","1399"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","22","cute-13","cuteness_rating","cuteness","7","1108","1109"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","23","cute-26","cuteness_rating","cuteness","4","1552","1553"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","24","cute-14","cuteness_rating","cuteness","7","1040","1040"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","25","cute-35","cuteness_rating","cuteness","7","1202","1202"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","26","cute-25","cuteness_rating","cuteness","7","1431","1432"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","27","cute-04","cuteness_rating","cuteness","7","2125","2126"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","28","cute-32","cuteness_rating","cuteness","5","1362","1363"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","29","cute-40","cuteness_rating","cuteness","7","1542","1542"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","30","cute-21","cuteness_rating","cuteness","6","1890","1890"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","31","cute-44","cuteness_rating","cuteness","5","1727","1727"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","32","cute-01","cuteness_rating","cuteness","7","1165","1165"
"session-1777427131559-erq6kp","19","남성","중국","B","cute:disadvantaged","server","","","","stimulus","33","cute-18","cuteness_rating","cuteness","7","959","959"
