session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-12","cuteness_rating","cuteness","5","5363","5364"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-50","cuteness_rating","cuteness","6","1698","1699"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-01","cuteness_rating","cuteness","7","1215","1215"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-42","cuteness_rating","cuteness","7","797","797"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-17","cuteness_rating","cuteness","7","921","921"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-23","cuteness_rating","cuteness","7","728","728"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-02","cuteness_rating","cuteness","7","1524","1524"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-39","cuteness_rating","cuteness","6","2796","2797"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-41","cuteness_rating","cuteness","4","2326","2326"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-18","cuteness_rating","cuteness","6","1619","1619"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-10","cuteness_rating","cuteness","4","1158","1158"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-35","cuteness_rating","cuteness","3","1696","1696"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-07","cuteness_rating","cuteness","6","1902","1902"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-32","cuteness_rating","cuteness","4","1193","1193"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-16","cuteness_rating","cuteness","7","1552","1552"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-31","cuteness_rating","cuteness","5","2529","2529"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-14","cuteness_rating","cuteness","5","982","982"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-27","cuteness_rating","cuteness","5","2144","2144"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-04","cuteness_rating","cuteness","6","1685","1685"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-37","cuteness_rating","cuteness","4","2118","2118"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-45","cuteness_rating","cuteness","4","1509","1509"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-24","cuteness_rating","cuteness","7","1107","1107"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-13","cuteness_rating","cuteness","5","2058","2058"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-34","cuteness_rating","cuteness","4","1568","1568"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-11","cuteness_rating","cuteness","4","1284","1284"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-33","cuteness_rating","cuteness","4","819","819"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-46","cuteness_rating","cuteness","6","1813","1813"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-25","cuteness_rating","cuteness","7","966","966"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-09","cuteness_rating","cuteness","5","1910","1910"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-26","cuteness_rating","cuteness","4","2311","2312"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-48","cuteness_rating","cuteness","5","4299","4299"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-28","cuteness_rating","cuteness","6","1418","1419"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-38","cuteness_rating","cuteness","3","1444","1444"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-49","cuteness_rating","cuteness","6","1240","1240"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-47","cuteness_rating","cuteness","6","1794","1795"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-36","cuteness_rating","cuteness","4","1388","1388"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-43","cuteness_rating","cuteness","6","1258","1258"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-06","cuteness_rating","cuteness","6","1153","1153"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-44","cuteness_rating","cuteness","6","1731","1731"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-03","cuteness_rating","cuteness","6","1092","1092"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-08","cuteness_rating","cuteness","5","1973","1973"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-22","cuteness_rating","cuteness","6","896","897"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-21","cuteness_rating","cuteness","6","1552","1552"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-20","cuteness_rating","cuteness","6","491","491"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-40","cuteness_rating","cuteness","4","1276","1276"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-30","cuteness_rating","cuteness","4","783","783"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-19","cuteness_rating","cuteness","6","2855","2855"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-05","cuteness_rating","cuteness","6","865","865"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-15","cuteness_rating","cuteness","6","768","768"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","50","cute-29","cuteness_rating","cuteness","4","1534","1534"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","11606","14011"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","4176","7683"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","12693","15131"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","4","2678","4979"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","3","11999","13602"
"session-1777427132161-m1z1co","24","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","5","3061","4692"
