session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-48","cuteness_rating","cuteness","3","3175","3175"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-32","cuteness_rating","cuteness","5","2227","2227"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-39","cuteness_rating","cuteness","6","1892","1892"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-42","cuteness_rating","cuteness","5","2085","2085"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-34","cuteness_rating","cuteness","4","1850","1851"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-11","cuteness_rating","cuteness","5","1902","1902"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-05","cuteness_rating","cuteness","4","2590","2591"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-40","cuteness_rating","cuteness","6","1667","1667"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-38","cuteness_rating","cuteness","3","2083","2083"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-06","cuteness_rating","cuteness","5","1859","1859"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-21","cuteness_rating","cuteness","3","2746","2746"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-44","cuteness_rating","cuteness","3","1500","1500"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-41","cuteness_rating","cuteness","4","1515","1515"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-16","cuteness_rating","cuteness","6","3310","3310"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-18","cuteness_rating","cuteness","5","1413","1413"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-33","cuteness_rating","cuteness","5","2322","2322"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-20","cuteness_rating","cuteness","6","2517","2517"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-22","cuteness_rating","cuteness","5","1805","1805"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-47","cuteness_rating","cuteness","3","1935","1936"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-07","cuteness_rating","cuteness","5","1810","1810"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-09","cuteness_rating","cuteness","6","2471","2471"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-04","cuteness_rating","cuteness","5","2544","2545"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-12","cuteness_rating","cuteness","6","2883","2883"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-10","cuteness_rating","cuteness","3","2012","2012"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-24","cuteness_rating","cuteness","1","2275","2275"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-50","cuteness_rating","cuteness","2","2969","2969"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-43","cuteness_rating","cuteness","2","2297","2297"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-45","cuteness_rating","cuteness","4","1569","1569"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-30","cuteness_rating","cuteness","5","2468","2468"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-49","cuteness_rating","cuteness","3","1733","1733"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-25","cuteness_rating","cuteness","4","2708","2708"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-08","cuteness_rating","cuteness","5","2172","2172"
"session-1777427134861-s0bm4y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-35","cuteness_rating","cuteness","3","1612","1612"
