session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-50","cuteness_rating","cuteness","2","4650","4650"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-41","cuteness_rating","cuteness","2","2200","2200"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-05","cuteness_rating","cuteness","1","1849","1849"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-33","cuteness_rating","cuteness","1","2034","2034"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-24","cuteness_rating","cuteness","1","2517","2517"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-21","cuteness_rating","cuteness","2","1966","1967"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-36","cuteness_rating","cuteness","1","2700","2700"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-45","cuteness_rating","cuteness","1","1751","1751"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-07","cuteness_rating","cuteness","2","1747","1747"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-20","cuteness_rating","cuteness","1","3133","3133"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-46","cuteness_rating","cuteness","1","1668","1668"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-12","cuteness_rating","cuteness","1","2450","2450"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-09","cuteness_rating","cuteness","1","1966","1966"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-18","cuteness_rating","cuteness","2","4767","4767"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-06","cuteness_rating","cuteness","1","2583","2583"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-38","cuteness_rating","cuteness","1","1950","1950"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-39","cuteness_rating","cuteness","1","2150","2150"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-04","cuteness_rating","cuteness","1","1884","1884"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-49","cuteness_rating","cuteness","1","3916","3916"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-30","cuteness_rating","cuteness","1","1750","1751"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-16","cuteness_rating","cuteness","2","1649","1650"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-01","cuteness_rating","cuteness","2","1733","1733"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-15","cuteness_rating","cuteness","2","4133","4133"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-10","cuteness_rating","cuteness","1","1950","1950"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-34","cuteness_rating","cuteness","1","1434","1434"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-35","cuteness_rating","cuteness","1","1749","1749"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-02","cuteness_rating","cuteness","1","3000","3000"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-37","cuteness_rating","cuteness","1","3450","3451"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-47","cuteness_rating","cuteness","1","1400","1400"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-27","cuteness_rating","cuteness","2","1882","1882"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-28","cuteness_rating","cuteness","1","1317","1317"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-14","cuteness_rating","cuteness","1","2933","2934"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-40","cuteness_rating","cuteness","1","1266","1267"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-08","cuteness_rating","cuteness","1","1449","1449"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-23","cuteness_rating","cuteness","1","1084","1084"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-48","cuteness_rating","cuteness","1","1384","1384"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-17","cuteness_rating","cuteness","2","3699","3700"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-42","cuteness_rating","cuteness","1","1800","1800"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-32","cuteness_rating","cuteness","1","2150","2150"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-22","cuteness_rating","cuteness","1","2450","2450"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-29","cuteness_rating","cuteness","1","1365","1365"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-11","cuteness_rating","cuteness","1","2035","2035"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-03","cuteness_rating","cuteness","2","1532","1533"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-31","cuteness_rating","cuteness","2","2399","2399"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-13","cuteness_rating","cuteness","1","4502","4502"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-44","cuteness_rating","cuteness","1","1898","1898"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-19","cuteness_rating","cuteness","2","6384","6384"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-26","cuteness_rating","cuteness","2","3049","3049"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-25","cuteness_rating","cuteness","1","3934","3934"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-43","cuteness_rating","cuteness","1","1849","1849"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","10404","19982"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","5101","6151"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","2","20233","21307"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","3","1909","4478"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","30047","31797"
"session-1777427136399-7vmnnx","22","남성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","3","6867","12426"
