session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","1","cute-07","cuteness_rating","cuteness","5","4376","4376"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","2","cute-12","cuteness_rating","cuteness","5","2772","2772"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","3","cute-35","cuteness_rating","cuteness","6","2364","2364"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","4","cute-17","cuteness_rating","cuteness","6","1761","1762"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","5","cute-03","cuteness_rating","cuteness","5","1745","1745"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","6","cute-01","cuteness_rating","cuteness","6","1965","1965"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","7","cute-06","cuteness_rating","cuteness","4","1670","1670"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","8","cute-33","cuteness_rating","cuteness","6","1511","1511"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","9","cute-32","cuteness_rating","cuteness","6","1854","1854"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","10","cute-05","cuteness_rating","cuteness","5","1827","1827"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","11","cute-39","cuteness_rating","cuteness","6","1734","1734"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","12","cute-50","cuteness_rating","cuteness","6","1998","1998"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","13","cute-13","cuteness_rating","cuteness","5","2188","2189"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","14","cute-02","cuteness_rating","cuteness","6","1812","1812"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","15","cute-38","cuteness_rating","cuteness","6","1530","1530"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","16","cute-47","cuteness_rating","cuteness","5","1905","1906"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","17","cute-24","cuteness_rating","cuteness","6","1878","1878"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","18","cute-26","cuteness_rating","cuteness","6","1339","1340"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","19","cute-31","cuteness_rating","cuteness","6","1529","1529"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","20","cute-49","cuteness_rating","cuteness","5","2190","2191"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","21","cute-21","cuteness_rating","cuteness","6","2298","2299"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","22","cute-22","cuteness_rating","cuteness","4","2075","2076"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","23","cute-36","cuteness_rating","cuteness","5","1734","1734"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","24","cute-27","cuteness_rating","cuteness","6","2265","2265"
"session-1777427136788-dyrfey","22","여성","일본","B","cute:disadvantaged","server","","","","stimulus","25","cute-08","cuteness_rating","cuteness","5","1505","1505"
