session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-31","cuteness_rating","cuteness","2","3949","3949"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-27","cuteness_rating","cuteness","3","1806","1806"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-16","cuteness_rating","cuteness","2","1461","1461"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-42","cuteness_rating","cuteness","1","1370","1370"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-03","cuteness_rating","cuteness","3","2728","2728"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-40","cuteness_rating","cuteness","1","3216","3216"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-49","cuteness_rating","cuteness","1","1102","1102"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-29","cuteness_rating","cuteness","2","2207","2207"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-05","cuteness_rating","cuteness","2","2281","2281"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-24","cuteness_rating","cuteness","1","3704","3704"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-07","cuteness_rating","cuteness","3","1368","1368"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-32","cuteness_rating","cuteness","1","894","894"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-10","cuteness_rating","cuteness","1","1245","1245"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-44","cuteness_rating","cuteness","1","640","640"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-04","cuteness_rating","cuteness","1","2470","2470"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-33","cuteness_rating","cuteness","1","1010","1011"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-36","cuteness_rating","cuteness","1","2103","2103"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-20","cuteness_rating","cuteness","1","1724","1724"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-30","cuteness_rating","cuteness","1","1382","1382"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-43","cuteness_rating","cuteness","1","832","832"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-48","cuteness_rating","cuteness","1","779","779"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-14","cuteness_rating","cuteness","1","2865","2865"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-18","cuteness_rating","cuteness","2","1691","1691"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-23","cuteness_rating","cuteness","1","713","713"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-28","cuteness_rating","cuteness","1","802","802"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-45","cuteness_rating","cuteness","1","1180","1180"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-06","cuteness_rating","cuteness","1","982","982"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-38","cuteness_rating","cuteness","1","2425","2425"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-25","cuteness_rating","cuteness","1","4070","4070"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-02","cuteness_rating","cuteness","1","1608","1608"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-15","cuteness_rating","cuteness","1","3201","3201"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-08","cuteness_rating","cuteness","2","1893","1893"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-19","cuteness_rating","cuteness","2","2689","2689"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-37","cuteness_rating","cuteness","2","1460","1460"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-17","cuteness_rating","cuteness","2","1442","1443"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-46","cuteness_rating","cuteness","1","2687","2687"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-35","cuteness_rating","cuteness","2","730","731"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-34","cuteness_rating","cuteness","1","696","696"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-09","cuteness_rating","cuteness","1","1054","1054"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-47","cuteness_rating","cuteness","1","602","602"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-21","cuteness_rating","cuteness","1","1166","1167"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-26","cuteness_rating","cuteness","3","2012","2012"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-22","cuteness_rating","cuteness","1","3540","3540"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-13","cuteness_rating","cuteness","1","929","929"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-12","cuteness_rating","cuteness","1","1137","1137"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-11","cuteness_rating","cuteness","1","1001","1001"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-50","cuteness_rating","cuteness","1","1078","1079"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-41","cuteness_rating","cuteness","1","777","777"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-39","cuteness_rating","cuteness","1","698","698"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-01","cuteness_rating","cuteness","1","890","890"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","39906","52265"
"session-1777427137190-5nyy8t","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","15755","16623"
