session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-29","cuteness_rating","cuteness","1","2034","2035"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-03","cuteness_rating","cuteness","2","2898","2898"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-26","cuteness_rating","cuteness","1","2254","2254"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-22","cuteness_rating","cuteness","1","1570","1570"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-15","cuteness_rating","cuteness","1","1753","1753"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-38","cuteness_rating","cuteness","1","1292","1292"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-18","cuteness_rating","cuteness","2","3409","3409"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-48","cuteness_rating","cuteness","2","2066","2067"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-11","cuteness_rating","cuteness","1","1711","1711"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-42","cuteness_rating","cuteness","1","1254","1254"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-49","cuteness_rating","cuteness","2","1889","1889"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-46","cuteness_rating","cuteness","1","1362","1362"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-44","cuteness_rating","cuteness","1","1412","1412"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-50","cuteness_rating","cuteness","1","1420","1420"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-27","cuteness_rating","cuteness","2","3066","3066"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-43","cuteness_rating","cuteness","1","2063","2064"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-31","cuteness_rating","cuteness","3","1664","1665"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-47","cuteness_rating","cuteness","1","1267","1267"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-14","cuteness_rating","cuteness","1","1831","1831"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-32","cuteness_rating","cuteness","1","1119","1119"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-13","cuteness_rating","cuteness","1","977","977"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-41","cuteness_rating","cuteness","1","1987","1987"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-24","cuteness_rating","cuteness","1","1103","1103"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-39","cuteness_rating","cuteness","1","2497","2497"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-30","cuteness_rating","cuteness","1","1284","1284"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-02","cuteness_rating","cuteness","2","1928","1928"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-37","cuteness_rating","cuteness","1","1735","1736"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-07","cuteness_rating","cuteness","3","1759","1759"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-17","cuteness_rating","cuteness","3","1274","1274"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-06","cuteness_rating","cuteness","1","1499","1500"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-35","cuteness_rating","cuteness","1","1352","1352"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-12","cuteness_rating","cuteness","2","1781","1781"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-28","cuteness_rating","cuteness","1","1334","1334"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-10","cuteness_rating","cuteness","1","1732","1732"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-33","cuteness_rating","cuteness","2","2333","2333"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-08","cuteness_rating","cuteness","3","1777","1777"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-01","cuteness_rating","cuteness","3","1201","1202"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-45","cuteness_rating","cuteness","1","1421","1421"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-16","cuteness_rating","cuteness","3","1630","1630"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-09","cuteness_rating","cuteness","1","2599","2599"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-19","cuteness_rating","cuteness","2","2356","2356"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-04","cuteness_rating","cuteness","2","217","217"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-25","cuteness_rating","cuteness","1","2062","2062"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-05","cuteness_rating","cuteness","1","1391","1391"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-34","cuteness_rating","cuteness","1","1160","1160"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-23","cuteness_rating","cuteness","1","802","802"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-21","cuteness_rating","cuteness","2","2202","2202"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-20","cuteness_rating","cuteness","1","1298","1298"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-40","cuteness_rating","cuteness","1","1280","1280"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-36","cuteness_rating","cuteness","1","1020","1020"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","8929","10942"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","3","9302","11867"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","6880","12077"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","3","10452","11445"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","3","5955","7149"
"session-1777427137512-j7xaar","20","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","3","1938","2968"
