session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-08","cuteness_rating","cuteness","1","4246","4246"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-38","cuteness_rating","cuteness","1","1323","1323"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-18","cuteness_rating","cuteness","1","2524","2524"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-19","cuteness_rating","cuteness","3","1997","1997"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-05","cuteness_rating","cuteness","1","2338","2338"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-34","cuteness_rating","cuteness","1","2532","2532"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-28","cuteness_rating","cuteness","1","1726","1726"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-04","cuteness_rating","cuteness","1","2408","2408"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-39","cuteness_rating","cuteness","1","1495","1495"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-42","cuteness_rating","cuteness","2","1957","1957"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-45","cuteness_rating","cuteness","1","2570","2571"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-13","cuteness_rating","cuteness","1","1587","1587"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-26","cuteness_rating","cuteness","1","4044","4044"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-06","cuteness_rating","cuteness","1","2177","2177"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-49","cuteness_rating","cuteness","2","2132","2132"
"session-1777427138733-e06qvw","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-03","cuteness_rating","cuteness","1","2522","2522"
