session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-24","cuteness_rating","cuteness","5","6218","6219"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-02","cuteness_rating","cuteness","6","2216","2216"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-34","cuteness_rating","cuteness","6","5836","5836"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-15","cuteness_rating","cuteness","7","3096","3096"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-40","cuteness_rating","cuteness","7","2345","2345"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-08","cuteness_rating","cuteness","7","1685","1685"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-22","cuteness_rating","cuteness","7","1995","1996"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-17","cuteness_rating","cuteness","7","4045","4045"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-18","cuteness_rating","cuteness","7","2574","2574"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-21","cuteness_rating","cuteness","7","1830","1830"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-44","cuteness_rating","cuteness","6","3300","3300"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-27","cuteness_rating","cuteness","4","4226","4226"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-28","cuteness_rating","cuteness","6","2540","2540"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-11","cuteness_rating","cuteness","7","2232","2232"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-26","cuteness_rating","cuteness","3","2992","2992"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-29","cuteness_rating","cuteness","4","3475","3475"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-23","cuteness_rating","cuteness","4","2054","2054"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-14","cuteness_rating","cuteness","7","2738","2738"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-46","cuteness_rating","cuteness","4","2528","2529"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-33","cuteness_rating","cuteness","4","1928","1928"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-07","cuteness_rating","cuteness","6","3166","3166"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-50","cuteness_rating","cuteness","5","2155","2155"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-49","cuteness_rating","cuteness","6","3156","3156"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-39","cuteness_rating","cuteness","6","2186","2186"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-38","cuteness_rating","cuteness","5","2343","2343"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-36","cuteness_rating","cuteness","5","2358","2358"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-41","cuteness_rating","cuteness","5","1471","1471"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-48","cuteness_rating","cuteness","3","2867","2868"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-19","cuteness_rating","cuteness","4","1930","1930"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-13","cuteness_rating","cuteness","7","2588","2588"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-47","cuteness_rating","cuteness","6","1924","1924"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-45","cuteness_rating","cuteness","5","1954","1954"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-32","cuteness_rating","cuteness","4","2197","2198"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-31","cuteness_rating","cuteness","6","2018","2018"
"session-1777427140094-xoajll","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-43","cuteness_rating","cuteness","4","2053","2053"
