session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-20","cuteness_rating","cuteness","5","2788","2788"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-28","cuteness_rating","cuteness","5","2163","2164"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-05","cuteness_rating","cuteness","5","1658","1658"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-32","cuteness_rating","cuteness","2","2263","2263"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-22","cuteness_rating","cuteness","6","1588","1588"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-16","cuteness_rating","cuteness","6","1356","1357"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-27","cuteness_rating","cuteness","4","3153","3153"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-33","cuteness_rating","cuteness","2","3698","3698"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-42","cuteness_rating","cuteness","3","2364","2364"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-31","cuteness_rating","cuteness","5","2428","2428"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-38","cuteness_rating","cuteness","1","2155","2155"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-04","cuteness_rating","cuteness","5","1543","1543"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-30","cuteness_rating","cuteness","3","1906","1906"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-17","cuteness_rating","cuteness","6","2723","2724"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-12","cuteness_rating","cuteness","6","1774","1774"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-13","cuteness_rating","cuteness","4","2494","2494"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-36","cuteness_rating","cuteness","2","1436","1437"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-29","cuteness_rating","cuteness","2","1585","1585"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-19","cuteness_rating","cuteness","6","3444","3444"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-09","cuteness_rating","cuteness","3","1650","1650"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-07","cuteness_rating","cuteness","6","1527","1527"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-48","cuteness_rating","cuteness","1","1701","1701"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-50","cuteness_rating","cuteness","1","1762","1762"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-39","cuteness_rating","cuteness","2","1705","1705"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-21","cuteness_rating","cuteness","4","2075","2075"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-37","cuteness_rating","cuteness","1","1358","1358"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-43","cuteness_rating","cuteness","3","4083","4083"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-49","cuteness_rating","cuteness","3","2007","2007"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-40","cuteness_rating","cuteness","2","1586","1586"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-06","cuteness_rating","cuteness","3","2285","2285"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-18","cuteness_rating","cuteness","7","1661","1661"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-47","cuteness_rating","cuteness","3","1795","1795"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-08","cuteness_rating","cuteness","4","1258","1258"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-41","cuteness_rating","cuteness","2","1319","1320"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-44","cuteness_rating","cuteness","4","1288","1288"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-10","cuteness_rating","cuteness","2","1305","1305"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-24","cuteness_rating","cuteness","4","1696","1696"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-01","cuteness_rating","cuteness","6","1686","1686"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-23","cuteness_rating","cuteness","6","1039","1039"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-02","cuteness_rating","cuteness","6","1234","1234"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-15","cuteness_rating","cuteness","5","1653","1653"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-26","cuteness_rating","cuteness","2","1636","1636"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-35","cuteness_rating","cuteness","1","1335","1335"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-11","cuteness_rating","cuteness","4","1932","1932"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-14","cuteness_rating","cuteness","4","1492","1492"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-46","cuteness_rating","cuteness","2","1393","1393"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-34","cuteness_rating","cuteness","1","1851","1851"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-25","cuteness_rating","cuteness","6","2016","2016"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-03","cuteness_rating","cuteness","7","4155","4155"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-45","cuteness_rating","cuteness","3","2379","2379"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","7714","8484"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","4820","5243"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","2","7541","8285"
"session-1777427143356-haixfo","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","5","3292","3897"
