session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-45","cuteness_rating","cuteness","2","2399","2399"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-44","cuteness_rating","cuteness","4","1613","1613"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-26","cuteness_rating","cuteness","7","4344","4344"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-01","cuteness_rating","cuteness","7","1976","1976"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-49","cuteness_rating","cuteness","4","1961","1961"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-20","cuteness_rating","cuteness","7","1619","1619"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-41","cuteness_rating","cuteness","7","1843","1843"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-23","cuteness_rating","cuteness","6","1776","1776"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-35","cuteness_rating","cuteness","6","1573","1573"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-10","cuteness_rating","cuteness","6","919","920"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-24","cuteness_rating","cuteness","6","1114","1114"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-42","cuteness_rating","cuteness","6","1029","1029"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-25","cuteness_rating","cuteness","6","1277","1277"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-19","cuteness_rating","cuteness","6","1796","1796"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-15","cuteness_rating","cuteness","6","1763","1763"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-33","cuteness_rating","cuteness","3","2501","2501"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-39","cuteness_rating","cuteness","5","2514","2514"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-38","cuteness_rating","cuteness","3","2666","2667"
"session-1777427144197-7b1esv","20","기타","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-31","cuteness_rating","cuteness","4","1386","1386"
