session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-09","cuteness_rating","cuteness","1","1698","1698"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-07","cuteness_rating","cuteness","1","1263","1264"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-03","cuteness_rating","cuteness","1","1302","1302"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-05","cuteness_rating","cuteness","1","1566","1566"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-47","cuteness_rating","cuteness","1","1016","1016"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-21","cuteness_rating","cuteness","1","1266","1266"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-20","cuteness_rating","cuteness","1","1000","1000"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-18","cuteness_rating","cuteness","1","1279","1279"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-13","cuteness_rating","cuteness","1","1087","1087"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-19","cuteness_rating","cuteness","2","1201","1201"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-30","cuteness_rating","cuteness","1","1550","1550"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-08","cuteness_rating","cuteness","1","1316","1316"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-11","cuteness_rating","cuteness","1","2897","2897"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-50","cuteness_rating","cuteness","2","1602","1602"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-26","cuteness_rating","cuteness","1","1567","1567"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-06","cuteness_rating","cuteness","1","1081","1081"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-29","cuteness_rating","cuteness","1","1051","1051"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-44","cuteness_rating","cuteness","1","1215","1215"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-33","cuteness_rating","cuteness","1","2569","2569"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-45","cuteness_rating","cuteness","1","782","783"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-27","cuteness_rating","cuteness","3","1401","1401"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-17","cuteness_rating","cuteness","1","2446","2446"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-25","cuteness_rating","cuteness","2","1470","1470"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-14","cuteness_rating","cuteness","2","981","981"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-43","cuteness_rating","cuteness","1","935","935"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-36","cuteness_rating","cuteness","1","1499","1499"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-12","cuteness_rating","cuteness","1","1099","1100"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-34","cuteness_rating","cuteness","1","834","834"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-02","cuteness_rating","cuteness","1","1065","1066"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-23","cuteness_rating","cuteness","1","884","884"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-32","cuteness_rating","cuteness","1","1031","1031"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-01","cuteness_rating","cuteness","1","1067","1067"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-40","cuteness_rating","cuteness","1","1019","1020"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-24","cuteness_rating","cuteness","2","1683","1683"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-41","cuteness_rating","cuteness","1","1170","1171"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-38","cuteness_rating","cuteness","1","1544","1544"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-31","cuteness_rating","cuteness","3","2339","2339"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-22","cuteness_rating","cuteness","2","2229","2229"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-46","cuteness_rating","cuteness","1","985","986"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-28","cuteness_rating","cuteness","1","1664","1664"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-15","cuteness_rating","cuteness","1","983","983"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-39","cuteness_rating","cuteness","1","1580","1580"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-10","cuteness_rating","cuteness","3","1452","1452"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-16","cuteness_rating","cuteness","2","2965","2965"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-04","cuteness_rating","cuteness","1","1847","1847"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-37","cuteness_rating","cuteness","1","1186","1186"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-48","cuteness_rating","cuteness","1","916","916"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-49","cuteness_rating","cuteness","1","1801","1801"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-42","cuteness_rating","cuteness","1","798","798"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-35","cuteness_rating","cuteness","1","884","884"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","9649","10199"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","1","3499","4967"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","14366","15464"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","2","1551","2117"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","8184","8818"
"session-1777427150266-j1ivt5","18","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","1","3180","4750"
