session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-06","cuteness_rating","cuteness","2","3040","3041"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-28","cuteness_rating","cuteness","2","2759","2759"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-18","cuteness_rating","cuteness","3","1952","1952"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-14","cuteness_rating","cuteness","2","5212","5212"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-15","cuteness_rating","cuteness","2","2146","2146"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-01","cuteness_rating","cuteness","4","1584","1584"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-08","cuteness_rating","cuteness","1","1940","1940"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-38","cuteness_rating","cuteness","3","1778","1778"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-47","cuteness_rating","cuteness","3","1746","1746"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-23","cuteness_rating","cuteness","2","2234","2234"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-46","cuteness_rating","cuteness","4","1547","1547"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-10","cuteness_rating","cuteness","5","1656","1656"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-42","cuteness_rating","cuteness","3","1356","1356"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-22","cuteness_rating","cuteness","2","1535","1535"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-05","cuteness_rating","cuteness","5","1531","1531"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-13","cuteness_rating","cuteness","2","1818","1818"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-48","cuteness_rating","cuteness","5","1602","1602"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-40","cuteness_rating","cuteness","5","2892","2892"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-19","cuteness_rating","cuteness","6","1599","1599"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-17","cuteness_rating","cuteness","3","1859","1859"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-45","cuteness_rating","cuteness","4","1121","1122"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-07","cuteness_rating","cuteness","5","2176","2176"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-44","cuteness_rating","cuteness","5","1452","1452"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-37","cuteness_rating","cuteness","5","1657","1657"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-11","cuteness_rating","cuteness","4","4435","4435"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-43","cuteness_rating","cuteness","4","3086","3086"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-29","cuteness_rating","cuteness","4","3112","3112"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-26","cuteness_rating","cuteness","5","1544","1544"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-34","cuteness_rating","cuteness","2","1291","1291"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-27","cuteness_rating","cuteness","6","1158","1158"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-16","cuteness_rating","cuteness","3","1938","1938"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-20","cuteness_rating","cuteness","2","1801","1801"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-09","cuteness_rating","cuteness","2","2772","2773"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-32","cuteness_rating","cuteness","4","2361","2361"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-02","cuteness_rating","cuteness","2","1674","1674"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-35","cuteness_rating","cuteness","2","1062","1062"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-30","cuteness_rating","cuteness","2","3942","3942"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-41","cuteness_rating","cuteness","4","1671","1671"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-36","cuteness_rating","cuteness","3","1586","1586"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-33","cuteness_rating","cuteness","2","1266","1266"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-31","cuteness_rating","cuteness","1","2181","2181"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-21","cuteness_rating","cuteness","2","1744","1744"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-50","cuteness_rating","cuteness","5","1475","1475"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-49","cuteness_rating","cuteness","3","2049","2049"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-04","cuteness_rating","cuteness","5","1419","1419"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-25","cuteness_rating","cuteness","3","1409","1409"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-24","cuteness_rating","cuteness","4","4464","4464"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-03","cuteness_rating","cuteness","3","2377","2377"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-12","cuteness_rating","cuteness","2","1995","1995"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-39","cuteness_rating","cuteness","2","1538","1538"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","4","14081","15138"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","2932","4205"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","4","9247","9927"
"session-1777427152845-fv344i","19","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","1625","2477"
