session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-38","cuteness_rating","cuteness","3","5632","5632"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-13","cuteness_rating","cuteness","4","4793","4793"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-15","cuteness_rating","cuteness","2","3218","3218"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-36","cuteness_rating","cuteness","5","2789","2789"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-45","cuteness_rating","cuteness","4","3931","3931"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-19","cuteness_rating","cuteness","7","2137","2137"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-04","cuteness_rating","cuteness","3","4514","4514"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-40","cuteness_rating","cuteness","3","3518","3518"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-21","cuteness_rating","cuteness","4","3360","3361"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-49","cuteness_rating","cuteness","6","2888","2888"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-48","cuteness_rating","cuteness","3","3149","3150"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-24","cuteness_rating","cuteness","2","1965","1965"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-23","cuteness_rating","cuteness","2","1867","1867"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-34","cuteness_rating","cuteness","1","1821","1822"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-03","cuteness_rating","cuteness","1","2666","2666"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-27","cuteness_rating","cuteness","5","2451","2451"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-29","cuteness_rating","cuteness","2","1648","1648"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-25","cuteness_rating","cuteness","2","2011","2011"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-11","cuteness_rating","cuteness","2","2624","2624"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-41","cuteness_rating","cuteness","6","2183","2183"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-46","cuteness_rating","cuteness","2","3510","3510"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-18","cuteness_rating","cuteness","6","4027","4027"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-09","cuteness_rating","cuteness","2","4095","4095"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-05","cuteness_rating","cuteness","1","4425","4425"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-16","cuteness_rating","cuteness","1","1980","1981"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-28","cuteness_rating","cuteness","2","1717","1717"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-14","cuteness_rating","cuteness","4","2768","2768"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-33","cuteness_rating","cuteness","3","3150","3150"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-20","cuteness_rating","cuteness","2","1538","1538"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-06","cuteness_rating","cuteness","1","1934","1934"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-43","cuteness_rating","cuteness","1","2138","2138"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-22","cuteness_rating","cuteness","4","1987","1987"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-12","cuteness_rating","cuteness","3","1342","1342"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-07","cuteness_rating","cuteness","6","1597","1597"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-35","cuteness_rating","cuteness","3","2595","2595"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-39","cuteness_rating","cuteness","1","3218","3218"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-17","cuteness_rating","cuteness","2","2939","2940"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-47","cuteness_rating","cuteness","3","1883","1884"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-01","cuteness_rating","cuteness","6","5038","5038"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-50","cuteness_rating","cuteness","5","4590","4590"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-31","cuteness_rating","cuteness","5","3781","3781"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-42","cuteness_rating","cuteness","1","1837","1837"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-02","cuteness_rating","cuteness","3","5521","5521"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-32","cuteness_rating","cuteness","2","2556","2556"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-26","cuteness_rating","cuteness","2","1591","1591"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-44","cuteness_rating","cuteness","1","1875","1875"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-10","cuteness_rating","cuteness","1","2423","2423"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-08","cuteness_rating","cuteness","2","2843","2843"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-37","cuteness_rating","cuteness","2","2445","2445"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-30","cuteness_rating","cuteness","1","1777","1777"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","17437","18629"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","2752","4500"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","4","39405","41775"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","3","1830","6405"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","4","32633","33548"
"session-1777427156504-dstjxz","19","여성","대한민국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","2","2752","3510"
