session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-49","cuteness_rating","cuteness","4","3463","3463"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-13","cuteness_rating","cuteness","7","3352","3352"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-47","cuteness_rating","cuteness","2","4900","4900"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-18","cuteness_rating","cuteness","6","2442","2442"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-06","cuteness_rating","cuteness","6","2740","2741"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-40","cuteness_rating","cuteness","6","1628","1628"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-09","cuteness_rating","cuteness","7","1393","1393"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-44","cuteness_rating","cuteness","1","2359","2359"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-16","cuteness_rating","cuteness","5","1852","1852"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-23","cuteness_rating","cuteness","6","1683","1683"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-10","cuteness_rating","cuteness","1","2152","2152"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-20","cuteness_rating","cuteness","1","1455","1455"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-31","cuteness_rating","cuteness","1","1588","1588"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-27","cuteness_rating","cuteness","1","1321","1321"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-26","cuteness_rating","cuteness","1","1340","1340"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-48","cuteness_rating","cuteness","1","1636","1636"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-22","cuteness_rating","cuteness","3","2539","2539"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-04","cuteness_rating","cuteness","5","3024","3024"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-17","cuteness_rating","cuteness","5","2632","2632"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-25","cuteness_rating","cuteness","6","2150","2150"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-32","cuteness_rating","cuteness","1","2238","2238"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-24","cuteness_rating","cuteness","1","2990","2990"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-01","cuteness_rating","cuteness","5","2382","2382"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-19","cuteness_rating","cuteness","1","1952","1952"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-21","cuteness_rating","cuteness","4","2461","2462"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-36","cuteness_rating","cuteness","2","3369","3370"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-34","cuteness_rating","cuteness","1","1476","1476"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-28","cuteness_rating","cuteness","1","1947","1947"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-37","cuteness_rating","cuteness","1","1577","1577"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-02","cuteness_rating","cuteness","1","1196","1196"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-05","cuteness_rating","cuteness","1","4770","4770"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-46","cuteness_rating","cuteness","1","1072","1072"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-29","cuteness_rating","cuteness","5","2764","2766"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-41","cuteness_rating","cuteness","1","1818","1818"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-14","cuteness_rating","cuteness","2","2210","2210"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-07","cuteness_rating","cuteness","2","3564","3565"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-35","cuteness_rating","cuteness","1","1209","1209"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-39","cuteness_rating","cuteness","5","2358","2358"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-50","cuteness_rating","cuteness","5","3210","3210"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-38","cuteness_rating","cuteness","1","2698","2698"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-30","cuteness_rating","cuteness","6","2678","2678"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-33","cuteness_rating","cuteness","6","1613","1613"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-43","cuteness_rating","cuteness","1","1802","1802"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-08","cuteness_rating","cuteness","7","1657","1657"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-45","cuteness_rating","cuteness","1","1661","1661"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-15","cuteness_rating","cuteness","1","2774","2775"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-03","cuteness_rating","cuteness","6","2208","2208"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-12","cuteness_rating","cuteness","6","2348","2348"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-11","cuteness_rating","cuteness","1","1807","1807"
"session-1777427157751-tbh7yq","24","남성","대한민국","B","cute:advantaged","server","","","","stimulus","50","cute-42","cuteness_rating","cuteness","1","1804","1804"
