session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-23","cuteness_rating","cuteness","7","2258","2258"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-19","cuteness_rating","cuteness","7","878","878"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-09","cuteness_rating","cuteness","7","988","988"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-01","cuteness_rating","cuteness","7","972","972"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-02","cuteness_rating","cuteness","7","636","636"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-30","cuteness_rating","cuteness","7","646","646"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-40","cuteness_rating","cuteness","7","526","526"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-24","cuteness_rating","cuteness","7","470","470"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-42","cuteness_rating","cuteness","7","583","584"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-36","cuteness_rating","cuteness","7","590","591"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-25","cuteness_rating","cuteness","7","572","572"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-45","cuteness_rating","cuteness","7","556","556"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-28","cuteness_rating","cuteness","7","506","506"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-18","cuteness_rating","cuteness","7","604","604"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-47","cuteness_rating","cuteness","7","2166","2166"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-07","cuteness_rating","cuteness","7","583","583"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-06","cuteness_rating","cuteness","7","413","413"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-03","cuteness_rating","cuteness","7","487","487"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-16","cuteness_rating","cuteness","7","638","639"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-26","cuteness_rating","cuteness","7","488","488"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-44","cuteness_rating","cuteness","7","648","648"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-35","cuteness_rating","cuteness","7","608","608"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-48","cuteness_rating","cuteness","7","517","517"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-14","cuteness_rating","cuteness","7","525","525"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-29","cuteness_rating","cuteness","7","622","622"
"session-1777427164164-6qk35h","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-46","cuteness_rating","cuteness","7","510","510"
