session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-12","cuteness_rating","cuteness","6","5321","5321"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-35","cuteness_rating","cuteness","7","1752","1752"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-50","cuteness_rating","cuteness","6","1649","1649"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-39","cuteness_rating","cuteness","7","2322","2323"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-09","cuteness_rating","cuteness","7","1375","1375"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-13","cuteness_rating","cuteness","6","1589","1589"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-31","cuteness_rating","cuteness","7","1894","1894"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-07","cuteness_rating","cuteness","7","2609","2609"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-29","cuteness_rating","cuteness","7","1376","1376"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-18","cuteness_rating","cuteness","6","2409","2410"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-25","cuteness_rating","cuteness","7","1217","1217"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-30","cuteness_rating","cuteness","7","2824","2825"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-21","cuteness_rating","cuteness","7","1081","1081"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-03","cuteness_rating","cuteness","7","1797","1797"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-43","cuteness_rating","cuteness","7","1167","1167"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-05","cuteness_rating","cuteness","6","1597","1597"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-49","cuteness_rating","cuteness","6","1686","1686"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-24","cuteness_rating","cuteness","6","1591","1591"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-16","cuteness_rating","cuteness","7","920","920"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-23","cuteness_rating","cuteness","7","1007","1007"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-33","cuteness_rating","cuteness","7","1318","1319"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-28","cuteness_rating","cuteness","6","1273","1274"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-34","cuteness_rating","cuteness","7","1216","1216"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-26","cuteness_rating","cuteness","7","1594","1594"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-14","cuteness_rating","cuteness","7","869","870"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-01","cuteness_rating","cuteness","7","810","810"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-08","cuteness_rating","cuteness","7","941","942"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-37","cuteness_rating","cuteness","7","1311","1312"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-36","cuteness_rating","cuteness","7","1120","1120"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-06","cuteness_rating","cuteness","6","1726","1727"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-17","cuteness_rating","cuteness","6","1098","1098"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-46","cuteness_rating","cuteness","6","1481","1481"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-44","cuteness_rating","cuteness","6","973","973"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-04","cuteness_rating","cuteness","7","523","523"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-48","cuteness_rating","cuteness","7","348","348"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-40","cuteness_rating","cuteness","7","916","916"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-19","cuteness_rating","cuteness","6","1229","1229"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-38","cuteness_rating","cuteness","6","1150","1150"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-20","cuteness_rating","cuteness","6","988","988"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-27","cuteness_rating","cuteness","7","630","631"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-11","cuteness_rating","cuteness","7","1085","1085"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-45","cuteness_rating","cuteness","6","1097","1097"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-22","cuteness_rating","cuteness","7","687","687"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-02","cuteness_rating","cuteness","7","733","733"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-42","cuteness_rating","cuteness","6","705","705"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-47","cuteness_rating","cuteness","7","698","698"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-10","cuteness_rating","cuteness","7","790","790"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-15","cuteness_rating","cuteness","7","599","599"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-41","cuteness_rating","cuteness","7","533","533"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-32","cuteness_rating","cuteness","7","459","459"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","19887","26319"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","3","8925","10238"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","4","31519","32644"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","2","4576","5614"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","21326","26950"
"session-1777427173378-5dpju5","23","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","2","3215","4338"
