session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-29","cuteness_rating","cuteness","2","2620","2620"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-07","cuteness_rating","cuteness","2","2676","2677"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-48","cuteness_rating","cuteness","1","1399","1400"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-28","cuteness_rating","cuteness","1","928","928"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-49","cuteness_rating","cuteness","1","1897","1897"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-10","cuteness_rating","cuteness","2","1319","1319"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-13","cuteness_rating","cuteness","1","1335","1335"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-08","cuteness_rating","cuteness","1","3583","3583"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-45","cuteness_rating","cuteness","1","1034","1034"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-15","cuteness_rating","cuteness","1","1076","1076"
"session-1777427186036-mnvxwz","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-06","cuteness_rating","cuteness","2","1916","1916"
