session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","1","cute-07","cuteness_rating","cuteness","6","3825","3825"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","2","cute-03","cuteness_rating","cuteness","7","1786","1786"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","3","cute-34","cuteness_rating","cuteness","5","1681","1681"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","4","cute-39","cuteness_rating","cuteness","4","2621","2621"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","5","cute-27","cuteness_rating","cuteness","4","1999","1999"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","6","cute-26","cuteness_rating","cuteness","7","1557","1557"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","7","cute-46","cuteness_rating","cuteness","7","1637","1637"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","8","cute-29","cuteness_rating","cuteness","4","2028","2028"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","9","cute-40","cuteness_rating","cuteness","4","1942","1943"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","10","cute-19","cuteness_rating","cuteness","6","1755","1755"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","11","cute-50","cuteness_rating","cuteness","7","1620","1620"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","12","cute-05","cuteness_rating","cuteness","7","1047","1047"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","13","cute-32","cuteness_rating","cuteness","5","1881","1881"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","14","cute-02","cuteness_rating","cuteness","6","2107","2107"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","15","cute-24","cuteness_rating","cuteness","4","2018","2018"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","16","cute-16","cuteness_rating","cuteness","7","1878","1879"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","17","cute-33","cuteness_rating","cuteness","4","1821","1821"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","18","cute-22","cuteness_rating","cuteness","4","2284","2284"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","19","cute-38","cuteness_rating","cuteness","4","1578","1578"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","20","cute-14","cuteness_rating","cuteness","4","1796","1796"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","21","cute-21","cuteness_rating","cuteness","5","1418","1418"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","22","cute-13","cuteness_rating","cuteness","4","1445","1445"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","23","cute-49","cuteness_rating","cuteness","4","1753","1753"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","24","cute-12","cuteness_rating","cuteness","4","972","972"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","25","cute-45","cuteness_rating","cuteness","4","219","219"
"session-1777427198528-t8wduo","21","남성","중국","B","cute:advantaged","server","","","","stimulus","26","cute-36","cuteness_rating","cuteness","6","1529","1529"
