session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-01","cuteness_rating","cuteness","6","4294","4294"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-03","cuteness_rating","cuteness","5","2528","2528"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-38","cuteness_rating","cuteness","7","1626","1627"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-24","cuteness_rating","cuteness","5","2695","2695"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-31","cuteness_rating","cuteness","6","1635","1635"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-05","cuteness_rating","cuteness","6","1385","1385"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-26","cuteness_rating","cuteness","3","1269","1269"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-47","cuteness_rating","cuteness","5","1362","1362"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-11","cuteness_rating","cuteness","6","1242","1242"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-14","cuteness_rating","cuteness","6","1567","1567"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-29","cuteness_rating","cuteness","5","3113","3113"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-42","cuteness_rating","cuteness","6","985","985"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-02","cuteness_rating","cuteness","5","1353","1353"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-08","cuteness_rating","cuteness","6","1259","1259"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-48","cuteness_rating","cuteness","6","2075","2075"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-44","cuteness_rating","cuteness","5","1185","1185"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-34","cuteness_rating","cuteness","6","1327","1327"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-18","cuteness_rating","cuteness","6","941","941"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-21","cuteness_rating","cuteness","5","712","712"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-22","cuteness_rating","cuteness","6","999","999"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-39","cuteness_rating","cuteness","6","1626","1627"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-43","cuteness_rating","cuteness","5","2227","2227"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-16","cuteness_rating","cuteness","5","92","92"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-10","cuteness_rating","cuteness","6","535","535"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-07","cuteness_rating","cuteness","5","735","735"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-09","cuteness_rating","cuteness","6","502","502"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-15","cuteness_rating","cuteness","5","1334","1334"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-46","cuteness_rating","cuteness","6","1077","1077"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-30","cuteness_rating","cuteness","7","1243","1243"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-33","cuteness_rating","cuteness","7","664","665"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-32","cuteness_rating","cuteness","7","984","985"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-12","cuteness_rating","cuteness","5","1722","1722"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-37","cuteness_rating","cuteness","6","1258","1258"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-36","cuteness_rating","cuteness","7","1368","1368"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-35","cuteness_rating","cuteness","7","1993","1993"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-17","cuteness_rating","cuteness","7","2469","2469"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-28","cuteness_rating","cuteness","5","3672","3672"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-27","cuteness_rating","cuteness","6","1376","1376"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-04","cuteness_rating","cuteness","7","1739","1739"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-49","cuteness_rating","cuteness","6","1425","1425"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-20","cuteness_rating","cuteness","7","1619","1619"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-06","cuteness_rating","cuteness","7","1609","1610"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-45","cuteness_rating","cuteness","6","2006","2006"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-23","cuteness_rating","cuteness","7","1333","1333"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-40","cuteness_rating","cuteness","4","1361","1362"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-25","cuteness_rating","cuteness","5","1199","1200"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-19","cuteness_rating","cuteness","3","1669","1670"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-13","cuteness_rating","cuteness","7","1087","1087"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-41","cuteness_rating","cuteness","7","1232","1232"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","","","","stimulus","50","cute-50","cuteness_rating","cuteness","5","1686","1686"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","8528","10597"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","3036","3604"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","4","7309","7927"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","2822","3204"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","5658","6175"
"session-1777427291571-37dg1m","25","남성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","3","1659","2120"
