session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-40","cuteness_rating","cuteness","3","3270","3271"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-43","cuteness_rating","cuteness","2","1919","1919"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-03","cuteness_rating","cuteness","5","4277","4277"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-25","cuteness_rating","cuteness","2","1884","1884"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-31","cuteness_rating","cuteness","6","2471","2471"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-21","cuteness_rating","cuteness","3","2453","2453"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-45","cuteness_rating","cuteness","6","1492","1492"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-24","cuteness_rating","cuteness","1","2381","2382"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-34","cuteness_rating","cuteness","1","1901","1901"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-02","cuteness_rating","cuteness","3","2120","2120"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-44","cuteness_rating","cuteness","6","5262","5262"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-29","cuteness_rating","cuteness","","","7008"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-50","cuteness_rating","cuteness","7","2922","2922"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-30","cuteness_rating","cuteness","4","3011","3011"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-46","cuteness_rating","cuteness","2","1882","1882"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-13","cuteness_rating","cuteness","3","3884","3884"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-28","cuteness_rating","cuteness","6","1709","1709"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-22","cuteness_rating","cuteness","4","1386","1386"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-08","cuteness_rating","cuteness","2","1598","1598"
"session-1777427323942-hj3yhc","21","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-12","cuteness_rating","cuteness","1","1787","1787"
