session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-04","cuteness_rating","cuteness","3","5943","5943"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-34","cuteness_rating","cuteness","3","1578","1578"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-23","cuteness_rating","cuteness","4","1467","1467"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-45","cuteness_rating","cuteness","2","1216","1217"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-50","cuteness_rating","cuteness","2","1185","1185"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-20","cuteness_rating","cuteness","4","1918","1918"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-14","cuteness_rating","cuteness","2","1673","1673"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-43","cuteness_rating","cuteness","2","1063","1064"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-35","cuteness_rating","cuteness","2","1141","1141"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-32","cuteness_rating","cuteness","1","1531","1531"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-42","cuteness_rating","cuteness","2","1191","1191"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-38","cuteness_rating","cuteness","1","1431","1432"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-13","cuteness_rating","cuteness","2","998","998"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-22","cuteness_rating","cuteness","4","1164","1164"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-05","cuteness_rating","cuteness","5","1165","1166"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-27","cuteness_rating","cuteness","2","1441","1441"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-09","cuteness_rating","cuteness","2","1197","1197"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-03","cuteness_rating","cuteness","4","992","992"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-11","cuteness_rating","cuteness","2","1041","1041"
"session-1777427329228-22d7wd","19","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-26","cuteness_rating","cuteness","2","1377","1377"
