session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-50","cuteness_rating","cuteness","5","3160","3160"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-40","cuteness_rating","cuteness","6","1657","1657"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-11","cuteness_rating","cuteness","4","1824","1824"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-07","cuteness_rating","cuteness","5","1350","1350"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-48","cuteness_rating","cuteness","3","1522","1522"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-39","cuteness_rating","cuteness","6","1372","1372"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-19","cuteness_rating","cuteness","6","1582","1582"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-02","cuteness_rating","cuteness","6","4545","4545"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-43","cuteness_rating","cuteness","3","1493","1494"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-42","cuteness_rating","cuteness","5","6472","6472"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-16","cuteness_rating","cuteness","4","2821","2821"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-26","cuteness_rating","cuteness","5","3622","3622"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-32","cuteness_rating","cuteness","6","1853","1853"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-13","cuteness_rating","cuteness","6","757","757"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-27","cuteness_rating","cuteness","5","3172","3172"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-45","cuteness_rating","cuteness","5","1463","1463"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-38","cuteness_rating","cuteness","4","1224","1224"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-28","cuteness_rating","cuteness","4","1649","1649"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-36","cuteness_rating","cuteness","3","2062","2062"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-34","cuteness_rating","cuteness","4","1620","1620"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-47","cuteness_rating","cuteness","3","1951","1951"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-12","cuteness_rating","cuteness","2","1274","1274"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-09","cuteness_rating","cuteness","4","1739","1740"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-46","cuteness_rating","cuteness","1","2355","2355"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-10","cuteness_rating","cuteness","3","2295","2295"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-25","cuteness_rating","cuteness","5","1621","1621"
"session-1777428611769-uw7bxb","25","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-20","cuteness_rating","cuteness","5","1154","1154"
