session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-21","cuteness_rating","cuteness","2","4598","4598"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-49","cuteness_rating","cuteness","5","2250","2250"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-37","cuteness_rating","cuteness","2","3017","3017"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-32","cuteness_rating","cuteness","3","1900","1900"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-09","cuteness_rating","cuteness","2","4283","4283"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-26","cuteness_rating","cuteness","3","1450","1450"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-07","cuteness_rating","cuteness","4","2183","2183"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-16","cuteness_rating","cuteness","1","4117","4117"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-23","cuteness_rating","cuteness","1","3467","3467"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-44","cuteness_rating","cuteness","2","3973","3974"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-12","cuteness_rating","cuteness","3","2093","2093"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-06","cuteness_rating","cuteness","2","3333","3333"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-27","cuteness_rating","cuteness","3","2050","2050"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-08","cuteness_rating","cuteness","1","1866","1867"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-03","cuteness_rating","cuteness","2","1484","1484"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-40","cuteness_rating","cuteness","2","1450","1450"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-11","cuteness_rating","cuteness","2","2366","2366"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-35","cuteness_rating","cuteness","2","950","950"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-41","cuteness_rating","cuteness","2","1766","1766"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-10","cuteness_rating","cuteness","2","1633","1633"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-28","cuteness_rating","cuteness","2","2267","2267"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-43","cuteness_rating","cuteness","2","983","983"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-18","cuteness_rating","cuteness","2","6433","6433"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-04","cuteness_rating","cuteness","1","5117","5117"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-02","cuteness_rating","cuteness","3","1950","1950"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-47","cuteness_rating","cuteness","4","1699","1699"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-15","cuteness_rating","cuteness","2","6184","6184"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-22","cuteness_rating","cuteness","2","2017","2017"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-19","cuteness_rating","cuteness","2","2783","2783"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-01","cuteness_rating","cuteness","2","2933","2933"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-17","cuteness_rating","cuteness","2","1283","1283"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-33","cuteness_rating","cuteness","2","2533","2533"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-31","cuteness_rating","cuteness","2","6500","6500"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-45","cuteness_rating","cuteness","2","1833","1833"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-36","cuteness_rating","cuteness","2","1017","1017"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-24","cuteness_rating","cuteness","2","1150","1150"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-14","cuteness_rating","cuteness","2","1533","1533"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-29","cuteness_rating","cuteness","2","783","783"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-48","cuteness_rating","cuteness","2","1083","1083"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-39","cuteness_rating","cuteness","2","1000","1000"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-50","cuteness_rating","cuteness","2","2083","2083"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-38","cuteness_rating","cuteness","2","416","417"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-13","cuteness_rating","cuteness","","","7008"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-42","cuteness_rating","cuteness","2","3708","3708"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-46","cuteness_rating","cuteness","2","1283","1283"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-20","cuteness_rating","cuteness","2","6934","6934"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-25","cuteness_rating","cuteness","2","1216","1216"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-34","cuteness_rating","cuteness","2","950","950"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-30","cuteness_rating","cuteness","2","1950","1950"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-05","cuteness_rating","cuteness","2","4750","4750"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","18350","20717"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","3967","5583"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","2","8450","9474"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","4893","5760"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","5","72826","75000"
"session-1777443974757-agpazt","24","남성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","5","6565","7291"
