session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-03","cuteness_rating","cuteness","1","1603","1603"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-22","cuteness_rating","cuteness","1","1144","1144"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-36","cuteness_rating","cuteness","2","1975","1975"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-13","cuteness_rating","cuteness","1","1704","1704"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-39","cuteness_rating","cuteness","3","1423","1423"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-10","cuteness_rating","cuteness","1","1935","1936"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-14","cuteness_rating","cuteness","1","1147","1148"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-07","cuteness_rating","cuteness","4","1948","1948"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-20","cuteness_rating","cuteness","2","2272","2272"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-34","cuteness_rating","cuteness","3","1839","1839"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-38","cuteness_rating","cuteness","1","1244","1244"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-42","cuteness_rating","cuteness","1","1050","1050"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-48","cuteness_rating","cuteness","1","836","836"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-37","cuteness_rating","cuteness","2","1096","1096"
"session-1777449838643-pgxyqu","19","남성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-47","cuteness_rating","cuteness","1","865","865"
