session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-42","cuteness_rating","cuteness","5","3943","3943"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-38","cuteness_rating","cuteness","5","1731","1731"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-21","cuteness_rating","cuteness","6","1644","1644"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-31","cuteness_rating","cuteness","6","1322","1322"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-45","cuteness_rating","cuteness","6","1087","1087"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-01","cuteness_rating","cuteness","6","946","947"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-07","cuteness_rating","cuteness","6","991","991"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-17","cuteness_rating","cuteness","6","800","800"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-06","cuteness_rating","cuteness","6","1824","1824"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-20","cuteness_rating","cuteness","7","1510","1510"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-09","cuteness_rating","cuteness","7","1538","1539"
"session-1777513297953-gkk89n","24","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-37","cuteness_rating","cuteness","7","913","913"
