session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-31","cuteness_rating","cuteness","6","4536","4536"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-18","cuteness_rating","cuteness","7","1819","1819"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-36","cuteness_rating","cuteness","7","1165","1165"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-01","cuteness_rating","cuteness","7","1266","1267"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-22","cuteness_rating","cuteness","7","1316","1316"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-16","cuteness_rating","cuteness","7","1369","1369"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-46","cuteness_rating","cuteness","4","3051","3051"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-27","cuteness_rating","cuteness","3","1884","1884"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-04","cuteness_rating","cuteness","5","1763","1763"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-13","cuteness_rating","cuteness","4","2068","2068"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-10","cuteness_rating","cuteness","6","4700","4700"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-50","cuteness_rating","cuteness","7","1484","1484"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-20","cuteness_rating","cuteness","7","883","883"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-47","cuteness_rating","cuteness","5","1918","1918"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-11","cuteness_rating","cuteness","6","1483","1483"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-09","cuteness_rating","cuteness","6","1968","1968"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-48","cuteness_rating","cuteness","4","5467","5467"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-30","cuteness_rating","cuteness","5","1815","1815"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-44","cuteness_rating","cuteness","6","1683","1683"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-24","cuteness_rating","cuteness","7","1483","1483"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-19","cuteness_rating","cuteness","7","1384","1384"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-28","cuteness_rating","cuteness","6","2150","2150"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-29","cuteness_rating","cuteness","7","1653","1653"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-08","cuteness_rating","cuteness","5","2165","2165"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-05","cuteness_rating","cuteness","7","3132","3132"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-35","cuteness_rating","cuteness","7","1200","1200"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-34","cuteness_rating","cuteness","3","2018","2018"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-26","cuteness_rating","cuteness","7","2715","2715"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-49","cuteness_rating","cuteness","7","1401","1401"
"session-1777518512712-8dofwc","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-37","cuteness_rating","cuteness","7","1434","1434"
