session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-36","cuteness_rating","cuteness","7","2887","2887"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-12","cuteness_rating","cuteness","7","430","430"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-45","cuteness_rating","cuteness","7","1896","1896"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-35","cuteness_rating","cuteness","6","1521","1521"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-50","cuteness_rating","cuteness","7","1716","1716"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-03","cuteness_rating","cuteness","7","766","766"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-10","cuteness_rating","cuteness","7","975","976"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-05","cuteness_rating","cuteness","7","1007","1007"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-14","cuteness_rating","cuteness","7","755","755"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-11","cuteness_rating","cuteness","7","787","787"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-42","cuteness_rating","cuteness","4","1433","1433"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-13","cuteness_rating","cuteness","7","1056","1056"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-49","cuteness_rating","cuteness","7","1321","1322"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-43","cuteness_rating","cuteness","3","1335","1335"
"session-1777533329871-gb1n1q","34","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-39","cuteness_rating","cuteness","5","1609","1609"
