session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-46","cuteness_rating","cuteness","1","3776","3776"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-02","cuteness_rating","cuteness","1","3864","3864"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-18","cuteness_rating","cuteness","1","1739","1739"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-37","cuteness_rating","cuteness","1","1288","1288"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-43","cuteness_rating","cuteness","1","1472","1472"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-42","cuteness_rating","cuteness","1","1104","1105"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-21","cuteness_rating","cuteness","3","1939","1942"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-07","cuteness_rating","cuteness","3","5418","5418"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-13","cuteness_rating","cuteness","1","1254","1254"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-39","cuteness_rating","cuteness","1","2259","2259"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-27","cuteness_rating","cuteness","1","3530","3530"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-03","cuteness_rating","cuteness","2","1656","1657"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-31","cuteness_rating","cuteness","3","1622","1622"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-38","cuteness_rating","cuteness","1","936","936"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-44","cuteness_rating","cuteness","1","1089","1089"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-29","cuteness_rating","cuteness","1","1857","1857"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-09","cuteness_rating","cuteness","1","3211","3211"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-20","cuteness_rating","cuteness","1","1774","1774"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-05","cuteness_rating","cuteness","2","1790","1790"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-10","cuteness_rating","cuteness","1","2075","2075"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-15","cuteness_rating","cuteness","1","4065","4065"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-32","cuteness_rating","cuteness","1","1206","1206"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-04","cuteness_rating","cuteness","1","1003","1003"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-35","cuteness_rating","cuteness","1","885","885"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-25","cuteness_rating","cuteness","1","1876","1876"
"session-1777533762311-xt1f0s","25","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-01","cuteness_rating","cuteness","2","1202","1202"
