session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-14","cuteness_rating","cuteness","1","1849","1849"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-44","cuteness_rating","cuteness","1","561","561"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-36","cuteness_rating","cuteness","1","920","920"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-26","cuteness_rating","cuteness","1","681","681"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-03","cuteness_rating","cuteness","1","1033","1033"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-45","cuteness_rating","cuteness","1","1368","1368"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-49","cuteness_rating","cuteness","2","1670","1672"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-12","cuteness_rating","cuteness","1","813","813"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-40","cuteness_rating","cuteness","2","1368","1368"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-01","cuteness_rating","cuteness","1","1503","1503"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-21","cuteness_rating","cuteness","1","1000","1000"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-33","cuteness_rating","cuteness","1","1183","1183"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-06","cuteness_rating","cuteness","2","1301","1301"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-34","cuteness_rating","cuteness","1","1067","1067"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-50","cuteness_rating","cuteness","1","951","951"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-10","cuteness_rating","cuteness","1","1182","1183"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-16","cuteness_rating","cuteness","1","733","733"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-39","cuteness_rating","cuteness","1","981","981"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-20","cuteness_rating","cuteness","1","753","754"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-11","cuteness_rating","cuteness","1","850","850"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-28","cuteness_rating","cuteness","1","617","617"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-41","cuteness_rating","cuteness","1","1982","1982"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-04","cuteness_rating","cuteness","2","2000","2000"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-25","cuteness_rating","cuteness","1","1102","1102"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-27","cuteness_rating","cuteness","1","1083","1083"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-19","cuteness_rating","cuteness","4","1983","1983"
"session-1777533841208-xm6bkx","21","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-15","cuteness_rating","cuteness","1","3920","3920"
