session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-18","cuteness_rating","cuteness","1","4270","4274"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-36","cuteness_rating","cuteness","1","2181","2181"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-26","cuteness_rating","cuteness","1","1772","1772"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-24","cuteness_rating","cuteness","1","877","877"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-44","cuteness_rating","cuteness","1","542","542"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-14","cuteness_rating","cuteness","1","543","544"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-43","cuteness_rating","cuteness","1","233","234"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-03","cuteness_rating","cuteness","1","174","174"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-12","cuteness_rating","cuteness","1","184","184"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-09","cuteness_rating","cuteness","1","199","200"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-41","cuteness_rating","cuteness","1","183","183"
"session-1777533908010-47qo6l","31","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-31","cuteness_rating","cuteness","1","225","225"
