session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-14","cuteness_rating","cuteness","7","2745","2745"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-29","cuteness_rating","cuteness","7","1019","1019"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-08","cuteness_rating","cuteness","7","898","898"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-04","cuteness_rating","cuteness","7","1096","1096"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-06","cuteness_rating","cuteness","7","858","858"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-39","cuteness_rating","cuteness","7","963","963"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-13","cuteness_rating","cuteness","7","762","762"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-27","cuteness_rating","cuteness","7","875","875"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-48","cuteness_rating","cuteness","4","3476","3476"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-49","cuteness_rating","cuteness","4","1148","1148"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-26","cuteness_rating","cuteness","4","998","998"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-05","cuteness_rating","cuteness","7","1374","1374"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-03","cuteness_rating","cuteness","7","684","684"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-17","cuteness_rating","cuteness","7","844","844"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-37","cuteness_rating","cuteness","7","788","788"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-32","cuteness_rating","cuteness","6","2832","2832"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-22","cuteness_rating","cuteness","7","2284","2284"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-36","cuteness_rating","cuteness","6","2880","2880"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-46","cuteness_rating","cuteness","3","5028","5028"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-47","cuteness_rating","cuteness","4","2120","2120"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-16","cuteness_rating","cuteness","7","2332","2332"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-11","cuteness_rating","cuteness","7","776","776"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-07","cuteness_rating","cuteness","7","932","932"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-12","cuteness_rating","cuteness","7","708","708"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-50","cuteness_rating","cuteness","4","2232","2232"
"session-1777533956591-aet3yl","33","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-02","cuteness_rating","cuteness","7","1624","1624"
