session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-24","cuteness_rating","cuteness","1","1531","1531"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-03","cuteness_rating","cuteness","1","786","786"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-27","cuteness_rating","cuteness","1","934","934"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-05","cuteness_rating","cuteness","1","630","630"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-30","cuteness_rating","cuteness","1","570","570"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-35","cuteness_rating","cuteness","1","177","177"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-36","cuteness_rating","cuteness","1","143","143"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-10","cuteness_rating","cuteness","1","229","229"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-16","cuteness_rating","cuteness","1","145","145"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-08","cuteness_rating","cuteness","1","133","133"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-40","cuteness_rating","cuteness","1","124","124"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-50","cuteness_rating","cuteness","1","133","133"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-28","cuteness_rating","cuteness","1","117","117"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-04","cuteness_rating","cuteness","1","134","134"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-23","cuteness_rating","cuteness","1","120","120"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-47","cuteness_rating","cuteness","1","120","120"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-11","cuteness_rating","cuteness","1","121","121"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-09","cuteness_rating","cuteness","1","119","119"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-29","cuteness_rating","cuteness","1","121","121"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-33","cuteness_rating","cuteness","1","145","145"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-42","cuteness_rating","cuteness","1","133","133"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-48","cuteness_rating","cuteness","1","133","133"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-13","cuteness_rating","cuteness","1","123","123"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-43","cuteness_rating","cuteness","1","146","146"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-31","cuteness_rating","cuteness","1","159","159"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-26","cuteness_rating","cuteness","1","149","149"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-39","cuteness_rating","cuteness","1","186","186"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-34","cuteness_rating","cuteness","1","160","160"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-32","cuteness_rating","cuteness","1","173","173"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-06","cuteness_rating","cuteness","1","146","146"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-14","cuteness_rating","cuteness","1","160","160"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-02","cuteness_rating","cuteness","1","172","172"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-20","cuteness_rating","cuteness","1","176","176"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-07","cuteness_rating","cuteness","1","171","171"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-21","cuteness_rating","cuteness","1","161","162"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-44","cuteness_rating","cuteness","1","159","159"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-37","cuteness_rating","cuteness","1","174","174"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-19","cuteness_rating","cuteness","1","146","146"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-18","cuteness_rating","cuteness","1","149","149"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-01","cuteness_rating","cuteness","1","144","144"
"session-1777534769430-odyfg0","25","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-25","cuteness_rating","cuteness","1","187","187"
