session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-22","cuteness_rating","cuteness","6","3807","3807"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-28","cuteness_rating","cuteness","6","1330","1330"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-44","cuteness_rating","cuteness","4","3969","3969"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-02","cuteness_rating","cuteness","5","3084","3084"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-04","cuteness_rating","cuteness","6","1390","1390"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-35","cuteness_rating","cuteness","5","2779","2779"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-30","cuteness_rating","cuteness","5","1629","1629"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-15","cuteness_rating","cuteness","4","1467","1467"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-09","cuteness_rating","cuteness","5","1589","1589"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-16","cuteness_rating","cuteness","6","1363","1363"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-11","cuteness_rating","cuteness","5","1224","1224"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-42","cuteness_rating","cuteness","3","2083","2083"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-08","cuteness_rating","cuteness","6","1398","1398"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-17","cuteness_rating","cuteness","6","1247","1247"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-48","cuteness_rating","cuteness","2","2838","2838"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-24","cuteness_rating","cuteness","5","1966","1966"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-33","cuteness_rating","cuteness","6","939","939"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-45","cuteness_rating","cuteness","4","1707","1707"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-38","cuteness_rating","cuteness","3","3501","3501"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-10","cuteness_rating","cuteness","4","1951","1951"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-25","cuteness_rating","cuteness","6","1615","1615"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-39","cuteness_rating","cuteness","7","2190","2190"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-26","cuteness_rating","cuteness","5","1479","1479"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-31","cuteness_rating","cuteness","6","1280","1280"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-36","cuteness_rating","cuteness","3","2531","2531"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-29","cuteness_rating","cuteness","4","1715","1715"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-23","cuteness_rating","cuteness","6","1131","1131"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-41","cuteness_rating","cuteness","3","2700","2700"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-50","cuteness_rating","cuteness","5","1488","1488"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-19","cuteness_rating","cuteness","5","5266","5267"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-32","cuteness_rating","cuteness","4","1177","1177"
"session-1777537158301-vr1yqd","31","남성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-03","cuteness_rating","cuteness","6","1178","1178"
