session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-38","cuteness_rating","cuteness","5","5982","5982"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-29","cuteness_rating","cuteness","6","2251","2252"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-36","cuteness_rating","cuteness","5","5005","5005"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-27","cuteness_rating","cuteness","5","3021","3021"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-47","cuteness_rating","cuteness","5","1886","1886"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-44","cuteness_rating","cuteness","6","3454","3454"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-42","cuteness_rating","cuteness","5","2053","2053"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-35","cuteness_rating","cuteness","6","1636","1636"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-23","cuteness_rating","cuteness","6","1607","1607"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-24","cuteness_rating","cuteness","6","1530","1531"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-16","cuteness_rating","cuteness","6","903","903"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-01","cuteness_rating","cuteness","6","1352","1352"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-25","cuteness_rating","cuteness","7","2052","2054"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-26","cuteness_rating","cuteness","6","1801","1801"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-11","cuteness_rating","cuteness","5","1449","1449"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-18","cuteness_rating","cuteness","7","2170","2170"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-32","cuteness_rating","cuteness","5","1569","1569"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-09","cuteness_rating","cuteness","6","1335","1335"
"session-1777538164152-0igq3c","32","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-28","cuteness_rating","cuteness","5","3356","3356"
