session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-17","cuteness_rating","cuteness","1","4027","4028"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-05","cuteness_rating","cuteness","1","2348","2348"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-09","cuteness_rating","cuteness","1","1185","1185"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-42","cuteness_rating","cuteness","1","2467","2467"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-06","cuteness_rating","cuteness","2","6152","6152"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-20","cuteness_rating","cuteness","1","1234","1234"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-39","cuteness_rating","cuteness","1","1500","1500"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-13","cuteness_rating","cuteness","1","916","916"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-07","cuteness_rating","cuteness","1","1900","1900"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-38","cuteness_rating","cuteness","1","1412","1412"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-19","cuteness_rating","cuteness","3","3471","3471"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-11","cuteness_rating","cuteness","1","1252","1252"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-40","cuteness_rating","cuteness","1","3233","3233"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-49","cuteness_rating","cuteness","1","5301","5301"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-27","cuteness_rating","cuteness","1","983","984"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-29","cuteness_rating","cuteness","1","1016","1016"
"session-1777543203270-2fwxpr","28","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-23","cuteness_rating","cuteness","1","883","884"
