session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-16","cuteness_rating","cuteness","1","4068","4068"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-38","cuteness_rating","cuteness","1","5392","5392"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-48","cuteness_rating","cuteness","3","5136","5136"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-08","cuteness_rating","cuteness","5","1663","1663"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-42","cuteness_rating","cuteness","3","1412","1412"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-26","cuteness_rating","cuteness","2","2219","2219"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-43","cuteness_rating","cuteness","2","1845","1845"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-14","cuteness_rating","cuteness","6","1531","1531"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-24","cuteness_rating","cuteness","7","1050","1050"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-10","cuteness_rating","cuteness","2","2400","2400"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-06","cuteness_rating","cuteness","1","1173","1173"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-49","cuteness_rating","cuteness","4","2100","2101"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-50","cuteness_rating","cuteness","4","1764","1764"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-34","cuteness_rating","cuteness","2","3369","3369"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-18","cuteness_rating","cuteness","6","1361","1361"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-44","cuteness_rating","cuteness","5","1520","1520"
"session-1777559850921-k8u0gv","22","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-45","cuteness_rating","cuteness","4","1303","1303"
