session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-47","cuteness_rating","cuteness","3","6439","6440"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-04","cuteness_rating","cuteness","6","1647","1647"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-17","cuteness_rating","cuteness","7","2368","2368"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-08","cuteness_rating","cuteness","7","1533","1533"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-23","cuteness_rating","cuteness","7","1451","1451"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-31","cuteness_rating","cuteness","7","1015","1016"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-48","cuteness_rating","cuteness","3","1785","1785"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-35","cuteness_rating","cuteness","4","1800","1800"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-39","cuteness_rating","cuteness","5","1601","1601"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-12","cuteness_rating","cuteness","6","1416","1416"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-18","cuteness_rating","cuteness","6","1367","1367"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-49","cuteness_rating","cuteness","4","1698","1698"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-07","cuteness_rating","cuteness","3","1786","1786"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-20","cuteness_rating","cuteness","4","1333","1334"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-36","cuteness_rating","cuteness","4","1566","1566"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-03","cuteness_rating","cuteness","4","1983","1983"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-14","cuteness_rating","cuteness","7","1451","1451"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-28","cuteness_rating","cuteness","4","2250","2250"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-19","cuteness_rating","cuteness","6","1484","1484"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-43","cuteness_rating","cuteness","2","1750","1750"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-25","cuteness_rating","cuteness","7","1384","1384"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-06","cuteness_rating","cuteness","7","1133","1133"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-42","cuteness_rating","cuteness","2","1451","1451"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-21","cuteness_rating","cuteness","5","1684","1684"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-22","cuteness_rating","cuteness","5","1302","1302"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-38","cuteness_rating","cuteness","3","2298","2298"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-10","cuteness_rating","cuteness","4","1331","1331"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-32","cuteness_rating","cuteness","2","2218","2218"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-05","cuteness_rating","cuteness","5","2419","2419"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-37","cuteness_rating","cuteness","2","1600","1600"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-30","cuteness_rating","cuteness","6","1917","1917"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-40","cuteness_rating","cuteness","6","1532","1533"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-09","cuteness_rating","cuteness","6","1050","1050"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-27","cuteness_rating","cuteness","3","1762","1762"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-16","cuteness_rating","cuteness","3","1701","1701"
"session-1777848534045-vgvqqb","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-46","cuteness_rating","cuteness","1","1467","1467"
