session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-35","cuteness_rating","cuteness","1","2054","2054"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-26","cuteness_rating","cuteness","1","969","969"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-13","cuteness_rating","cuteness","1","824","824"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-09","cuteness_rating","cuteness","1","783","783"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-40","cuteness_rating","cuteness","1","616","616"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-07","cuteness_rating","cuteness","2","2689","2689"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-21","cuteness_rating","cuteness","1","1815","1815"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-28","cuteness_rating","cuteness","1","746","746"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-41","cuteness_rating","cuteness","1","898","899"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-08","cuteness_rating","cuteness","1","760","761"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-42","cuteness_rating","cuteness","1","828","828"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-12","cuteness_rating","cuteness","1","726","727"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-27","cuteness_rating","cuteness","1","673","674"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-01","cuteness_rating","cuteness","1","739","740"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-14","cuteness_rating","cuteness","1","1057","1057"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-43","cuteness_rating","cuteness","1","683","683"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-38","cuteness_rating","cuteness","1","866","866"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-29","cuteness_rating","cuteness","1","872","872"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-34","cuteness_rating","cuteness","1","325","325"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-19","cuteness_rating","cuteness","3","1642","1642"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-49","cuteness_rating","cuteness","4","2047","2047"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-22","cuteness_rating","cuteness","1","1480","1480"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-17","cuteness_rating","cuteness","1","883","883"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-10","cuteness_rating","cuteness","1","680","680"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-06","cuteness_rating","cuteness","1","983","983"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-20","cuteness_rating","cuteness","1","858","858"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-50","cuteness_rating","cuteness","1","999","999"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-15","cuteness_rating","cuteness","1","1537","1537"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-46","cuteness_rating","cuteness","1","760","760"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-03","cuteness_rating","cuteness","1","756","756"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-24","cuteness_rating","cuteness","1","709","709"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-30","cuteness_rating","cuteness","1","932","932"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-37","cuteness_rating","cuteness","1","882","882"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-02","cuteness_rating","cuteness","1","1199","1199"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-45","cuteness_rating","cuteness","1","722","722"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-05","cuteness_rating","cuteness","1","682","682"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-33","cuteness_rating","cuteness","1","793","793"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-11","cuteness_rating","cuteness","1","1004","1004"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-25","cuteness_rating","cuteness","1","723","723"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-18","cuteness_rating","cuteness","1","1092","1092"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-04","cuteness_rating","cuteness","2","1460","1460"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-31","cuteness_rating","cuteness","1","1396","1396"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-32","cuteness_rating","cuteness","1","1994","1994"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-36","cuteness_rating","cuteness","1","607","607"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-47","cuteness_rating","cuteness","1","601","601"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-16","cuteness_rating","cuteness","1","664","664"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-39","cuteness_rating","cuteness","1","849","849"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-23","cuteness_rating","cuteness","1","1266","1266"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-44","cuteness_rating","cuteness","2","2216","2216"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-48","cuteness_rating","cuteness","1","1297","1297"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","3","10749","13524"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","5","9319","10175"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","2","10636","11278"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","1463","2105"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","1","6537","7137"
"session-1777849036927-t3wr3q","29","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","6","988","1317"
