session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-34","cuteness_rating","cuteness","1","2418","2418"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-42","cuteness_rating","cuteness","1","1663","1664"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-43","cuteness_rating","cuteness","1","2615","2615"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-13","cuteness_rating","cuteness","1","1480","1480"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-45","cuteness_rating","cuteness","1","1268","1268"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-03","cuteness_rating","cuteness","1","1369","1369"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-41","cuteness_rating","cuteness","1","2667","2668"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-11","cuteness_rating","cuteness","1","2062","2062"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-50","cuteness_rating","cuteness","1","1237","1237"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-09","cuteness_rating","cuteness","1","2032","2032"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-01","cuteness_rating","cuteness","1","1195","1195"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-25","cuteness_rating","cuteness","1","1271","1272"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-19","cuteness_rating","cuteness","2","2171","2171"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-12","cuteness_rating","cuteness","1","1180","1180"
"session-1777849227181-q7j7dx","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-36","cuteness_rating","cuteness","1","2013","2013"
