session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-12","cuteness_rating","cuteness","6","5372","5372"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-31","cuteness_rating","cuteness","6","2363","2363"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-40","cuteness_rating","cuteness","7","1974","1974"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-45","cuteness_rating","cuteness","4","2923","2923"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-21","cuteness_rating","cuteness","3","2282","2282"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-10","cuteness_rating","cuteness","5","1545","1545"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-24","cuteness_rating","cuteness","5","1586","1586"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-09","cuteness_rating","cuteness","7","2380","2380"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-15","cuteness_rating","cuteness","3","2085","2085"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-48","cuteness_rating","cuteness","4","1599","1599"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-02","cuteness_rating","cuteness","4","1701","1701"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-44","cuteness_rating","cuteness","3","1338","1338"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-14","cuteness_rating","cuteness","6","1777","1777"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-05","cuteness_rating","cuteness","4","1788","1788"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-42","cuteness_rating","cuteness","3","2038","2038"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-34","cuteness_rating","cuteness","7","1632","1632"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-25","cuteness_rating","cuteness","6","1796","1796"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-01","cuteness_rating","cuteness","6","1474","1474"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-39","cuteness_rating","cuteness","7","1322","1322"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-20","cuteness_rating","cuteness","3","2551","2551"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-19","cuteness_rating","cuteness","3","6646","6646"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-37","cuteness_rating","cuteness","5","1943","1943"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-26","cuteness_rating","cuteness","4","2326","2326"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-06","cuteness_rating","cuteness","4","1412","1412"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-16","cuteness_rating","cuteness","5","1925","1925"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-35","cuteness_rating","cuteness","5","3358","3358"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-36","cuteness_rating","cuteness","6","2298","2299"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-23","cuteness_rating","cuteness","5","3150","3150"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-13","cuteness_rating","cuteness","7","1371","1371"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-08","cuteness_rating","cuteness","7","978","978"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-46","cuteness_rating","cuteness","7","2097","2097"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-41","cuteness_rating","cuteness","7","2751","2751"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-38","cuteness_rating","cuteness","","","7008"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-49","cuteness_rating","cuteness","5","3350","3350"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-27","cuteness_rating","cuteness","4","3042","3042"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-11","cuteness_rating","cuteness","6","1750","1750"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-47","cuteness_rating","cuteness","3","1868","1868"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-22","cuteness_rating","cuteness","4","4110","4110"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-28","cuteness_rating","cuteness","4","1666","1666"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-04","cuteness_rating","cuteness","3","1388","1388"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-43","cuteness_rating","cuteness","3","1363","1363"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-07","cuteness_rating","cuteness","4","3066","3066"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-18","cuteness_rating","cuteness","4","2191","2191"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-30","cuteness_rating","cuteness","6","1847","1847"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-50","cuteness_rating","cuteness","3","1712","1712"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-32","cuteness_rating","cuteness","5","2336","2336"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-33","cuteness_rating","cuteness","5","1747","1747"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-03","cuteness_rating","cuteness","3","1303","1304"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-17","cuteness_rating","cuteness","3","1333","1334"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-29","cuteness_rating","cuteness","5","2509","2509"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","22093","22975"
"session-1777849354061-na8alz","29","남성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","16895","17598"
