session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-34","cuteness_rating","cuteness","6","2774","2774"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-43","cuteness_rating","cuteness","7","1179","1179"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-29","cuteness_rating","cuteness","6","3246","3246"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-31","cuteness_rating","cuteness","7","1134","1134"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-26","cuteness_rating","cuteness","3","1699","1700"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-44","cuteness_rating","cuteness","4","1431","1431"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-42","cuteness_rating","cuteness","5","1566","1566"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-27","cuteness_rating","cuteness","3","1601","1601"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-11","cuteness_rating","cuteness","6","1395","1395"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-47","cuteness_rating","cuteness","3","2474","2474"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-16","cuteness_rating","cuteness","7","1857","1857"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-40","cuteness_rating","cuteness","5","4006","4006"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-41","cuteness_rating","cuteness","3","1755","1755"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-48","cuteness_rating","cuteness","2","1264","1264"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-06","cuteness_rating","cuteness","5","1404","1404"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-38","cuteness_rating","cuteness","3","1668","1668"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-23","cuteness_rating","cuteness","5","1763","1764"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-20","cuteness_rating","cuteness","6","1206","1207"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-36","cuteness_rating","cuteness","4","1609","1610"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-28","cuteness_rating","cuteness","5","1296","1296"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-35","cuteness_rating","cuteness","3","1366","1366"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-49","cuteness_rating","cuteness","4","2138","2138"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-09","cuteness_rating","cuteness","3","1906","1906"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-32","cuteness_rating","cuteness","3","2396","2396"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-22","cuteness_rating","cuteness","5","1404","1404"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-10","cuteness_rating","cuteness","5","1777","1777"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-46","cuteness_rating","cuteness","5","1824","1824"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-04","cuteness_rating","cuteness","6","1778","1778"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-13","cuteness_rating","cuteness","5","2617","2617"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-08","cuteness_rating","cuteness","5","1547","1547"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-05","cuteness_rating","cuteness","5","2443","2443"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-12","cuteness_rating","cuteness","4","2273","2273"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-02","cuteness_rating","cuteness","5","1702","1702"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-21","cuteness_rating","cuteness","4","1689","1689"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-14","cuteness_rating","cuteness","6","1662","1662"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-18","cuteness_rating","cuteness","4","1564","1564"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-25","cuteness_rating","cuteness","6","1492","1492"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-07","cuteness_rating","cuteness","6","1928","1929"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-45","cuteness_rating","cuteness","3","1882","1882"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-30","cuteness_rating","cuteness","3","2879","2879"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-39","cuteness_rating","cuteness","2","2044","2044"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-19","cuteness_rating","cuteness","4","2511","2511"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-24","cuteness_rating","cuteness","3","3889","3889"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-37","cuteness_rating","cuteness","3","1457","1457"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-50","cuteness_rating","cuteness","2","2298","2298"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-17","cuteness_rating","cuteness","3","3438","3438"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-33","cuteness_rating","cuteness","2","1248","1248"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-03","cuteness_rating","cuteness","5","1290","1290"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-15","cuteness_rating","cuteness","6","1430","1430"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","","","","stimulus","50","cute-01","cuteness_rating","cuteness","6","1673","1673"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","4","13596","14936"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","2","4775","6056"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","3","15321","16658"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","6","2781","3199"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","2","9400","12657"
"session-1777850520206-n4qgup","18","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","5","5034","6342"
