session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-24","cuteness_rating","cuteness","3","5591","5592"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-08","cuteness_rating","cuteness","2","3668","3668"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-36","cuteness_rating","cuteness","2","2842","2842"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-47","cuteness_rating","cuteness","3","6022","6022"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-31","cuteness_rating","cuteness","2","5968","5968"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-23","cuteness_rating","cuteness","1","6883","6883"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-16","cuteness_rating","cuteness","1","1422","1422"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-46","cuteness_rating","cuteness","1","1916","1917"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-28","cuteness_rating","cuteness","1","2616","2616"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-40","cuteness_rating","cuteness","1","3467","3468"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-04","cuteness_rating","cuteness","3","2936","2936"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-44","cuteness_rating","cuteness","4","2405","2405"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-45","cuteness_rating","cuteness","2","3617","3617"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-48","cuteness_rating","cuteness","3","1527","1527"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-35","cuteness_rating","cuteness","2","2423","2423"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-37","cuteness_rating","cuteness","2","4725","4725"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-06","cuteness_rating","cuteness","2","3559","3559"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-25","cuteness_rating","cuteness","1","1573","1573"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-18","cuteness_rating","cuteness","1","2383","2383"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-22","cuteness_rating","cuteness","3","2125","2125"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-01","cuteness_rating","cuteness","5","1782","1782"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-11","cuteness_rating","cuteness","2","1876","1876"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-20","cuteness_rating","cuteness","1","2341","2341"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-43","cuteness_rating","cuteness","1","3642","3642"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-42","cuteness_rating","cuteness","1","1582","1582"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-12","cuteness_rating","cuteness","3","3350","3351"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-32","cuteness_rating","cuteness","2","2767","2767"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-07","cuteness_rating","cuteness","4","2882","2882"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-26","cuteness_rating","cuteness","2","3455","3455"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-39","cuteness_rating","cuteness","1","1740","1740"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-09","cuteness_rating","cuteness","4","2776","2777"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-34","cuteness_rating","cuteness","1","2710","2710"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-30","cuteness_rating","cuteness","4","4000","4000"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-10","cuteness_rating","cuteness","2","3230","3230"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","35","neutral-13","cuteness_rating","cuteness","1","1377","1377"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","36","neutral-29","cuteness_rating","cuteness","3","2133","2133"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","37","neutral-27","cuteness_rating","cuteness","2","3073","3074"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","38","neutral-05","cuteness_rating","cuteness","3","1478","1478"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","39","neutral-49","cuteness_rating","cuteness","3","4373","4373"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","40","neutral-19","cuteness_rating","cuteness","4","4868","4868"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","41","neutral-38","cuteness_rating","cuteness","1","1581","1581"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","42","neutral-21","cuteness_rating","cuteness","1","2097","2097"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","43","neutral-15","cuteness_rating","cuteness","2","1094","1095"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","44","neutral-14","cuteness_rating","cuteness","2","1445","1445"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","45","neutral-17","cuteness_rating","cuteness","1","2195","2195"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","46","neutral-33","cuteness_rating","cuteness","1","1255","1255"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","47","neutral-41","cuteness_rating","cuteness","2","1737","1737"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","48","neutral-03","cuteness_rating","cuteness","2","1613","1613"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","49","neutral-02","cuteness_rating","cuteness","1","1291","1291"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","","","","stimulus","50","neutral-50","cuteness_rating","cuteness","3","2010","2010"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","21150","22422"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","4856","7075"
"session-1777852892754-qkxhlb","27","여성","대한민국","A","neutral:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","2","23374","25161"
