session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-50","cuteness_rating","cuteness","5","5079","5079"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-25","cuteness_rating","cuteness","7","1515","1515"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-27","cuteness_rating","cuteness","4","2950","2950"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-15","cuteness_rating","cuteness","6","2501","2501"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-23","cuteness_rating","cuteness","7","1099","1100"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-10","cuteness_rating","cuteness","4","2917","2917"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-34","cuteness_rating","cuteness","3","2150","2150"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-29","cuteness_rating","cuteness","5","2118","2118"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-02","cuteness_rating","cuteness","5","1599","1599"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-20","cuteness_rating","cuteness","6","1418","1418"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-47","cuteness_rating","cuteness","3","2033","2033"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-46","cuteness_rating","cuteness","1","1867","1867"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-05","cuteness_rating","cuteness","6","2183","2184"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-43","cuteness_rating","cuteness","6","1783","1783"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-08","cuteness_rating","cuteness","5","1867","1868"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-04","cuteness_rating","cuteness","5","1816","1816"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-11","cuteness_rating","cuteness","6","1717","1717"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-12","cuteness_rating","cuteness","6","1217","1217"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-03","cuteness_rating","cuteness","6","1383","1383"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-26","cuteness_rating","cuteness","3","1818","1818"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-44","cuteness_rating","cuteness","3","1767","1767"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-18","cuteness_rating","cuteness","5","1784","1784"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-42","cuteness_rating","cuteness","4","4400","4400"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-09","cuteness_rating","cuteness","3","5018","5018"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-14","cuteness_rating","cuteness","6","1316","1316"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-32","cuteness_rating","cuteness","1","1651","1651"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-22","cuteness_rating","cuteness","5","1400","1400"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-41","cuteness_rating","cuteness","2","1767","1767"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-01","cuteness_rating","cuteness","2","1750","1750"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-16","cuteness_rating","cuteness","7","1117","1117"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-24","cuteness_rating","cuteness","4","2017","2017"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-21","cuteness_rating","cuteness","4","1601","1601"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-40","cuteness_rating","cuteness","3","1649","1650"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-35","cuteness_rating","cuteness","2","1619","1619"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-48","cuteness_rating","cuteness","1","1131","1131"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-36","cuteness_rating","cuteness","2","1734","1734"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-07","cuteness_rating","cuteness","5","1583","1583"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-31","cuteness_rating","cuteness","6","2300","2300"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-38","cuteness_rating","cuteness","2","2633","2633"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-19","cuteness_rating","cuteness","5","2851","2851"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-17","cuteness_rating","cuteness","6","1284","1284"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-45","cuteness_rating","cuteness","3","1350","1350"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-13","cuteness_rating","cuteness","3","1183","1183"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-49","cuteness_rating","cuteness","7","1351","1351"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-37","cuteness_rating","cuteness","2","1966","1967"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-30","cuteness_rating","cuteness","3","1516","1516"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-33","cuteness_rating","cuteness","2","1651","1652"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-28","cuteness_rating","cuteness","5","1566","1566"
"session-1777853745187-nmyd9t","26","여성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-06","cuteness_rating","cuteness","7","1116","1116"
