session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-49","cuteness_rating","cuteness","2","4881","4881"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-36","cuteness_rating","cuteness","1","1103","1103"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-07","cuteness_rating","cuteness","3","1300","1300"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-20","cuteness_rating","cuteness","1","1083","1083"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-18","cuteness_rating","cuteness","1","1031","1031"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-29","cuteness_rating","cuteness","1","748","749"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-34","cuteness_rating","cuteness","1","676","676"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-12","cuteness_rating","cuteness","1","1155","1155"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-45","cuteness_rating","cuteness","1","1490","1490"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-03","cuteness_rating","cuteness","1","921","921"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-40","cuteness_rating","cuteness","1","796","796"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-31","cuteness_rating","cuteness","1","1202","1202"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-27","cuteness_rating","cuteness","2","1234","1234"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-37","cuteness_rating","cuteness","1","1072","1072"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-41","cuteness_rating","cuteness","1","987","987"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-47","cuteness_rating","cuteness","1","873","873"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-06","cuteness_rating","cuteness","1","600","600"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-50","cuteness_rating","cuteness","1","630","630"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-28","cuteness_rating","cuteness","1","593","593"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-25","cuteness_rating","cuteness","1","715","716"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-09","cuteness_rating","cuteness","1","661","661"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-13","cuteness_rating","cuteness","1","1195","1195"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-32","cuteness_rating","cuteness","1","678","678"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-43","cuteness_rating","cuteness","1","562","562"
"session-1777867983712-yx81n9","20","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-11","cuteness_rating","cuteness","1","546","546"
