session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-16","cuteness_rating","cuteness","1","5411","5411"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-23","cuteness_rating","cuteness","1","2611","2611"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-32","cuteness_rating","cuteness","1","1598","1598"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-24","cuteness_rating","cuteness","1","1115","1115"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-36","cuteness_rating","cuteness","1","4661","4661"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-08","cuteness_rating","cuteness","1","1173","1173"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-11","cuteness_rating","cuteness","1","1131","1131"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-45","cuteness_rating","cuteness","1","2388","2389"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-46","cuteness_rating","cuteness","1","2729","2730"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-21","cuteness_rating","cuteness","1","1008","1008"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-17","cuteness_rating","cuteness","1","1183","1183"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-28","cuteness_rating","cuteness","1","848","848"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-43","cuteness_rating","cuteness","2","2999","2999"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-02","cuteness_rating","cuteness","1","1355","1355"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-18","cuteness_rating","cuteness","2","1323","1323"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-10","cuteness_rating","cuteness","1","1013","1013"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-31","cuteness_rating","cuteness","1","885","885"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-03","cuteness_rating","cuteness","1","1222","1222"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-42","cuteness_rating","cuteness","1","958","958"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-34","cuteness_rating","cuteness","1","1100","1100"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-35","cuteness_rating","cuteness","1","715","715"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-39","cuteness_rating","cuteness","1","2032","2032"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-14","cuteness_rating","cuteness","1","2395","2395"
"session-1777875748107-fq45p6","29","남성","대한민굳","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-41","cuteness_rating","cuteness","2","3254","3254"
