session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-50","cuteness_rating","cuteness","4","6401","6402"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-17","cuteness_rating","cuteness","5","5436","5436"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-16","cuteness_rating","cuteness","6","1608","1609"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-04","cuteness_rating","cuteness","5","1819","1819"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-07","cuteness_rating","cuteness","5","1983","1983"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-29","cuteness_rating","cuteness","6","3018","3018"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-11","cuteness_rating","cuteness","7","1230","1230"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-39","cuteness_rating","cuteness","7","1185","1186"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-03","cuteness_rating","cuteness","6","1802","1802"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-43","cuteness_rating","cuteness","6","1962","1967"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-48","cuteness_rating","cuteness","3","1764","1764"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-05","cuteness_rating","cuteness","4","1482","1482"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-34","cuteness_rating","cuteness","5","2135","2135"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-42","cuteness_rating","cuteness","6","2504","2504"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-28","cuteness_rating","cuteness","6","1930","1930"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-20","cuteness_rating","cuteness","5","2809","2809"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-14","cuteness_rating","cuteness","6","1482","1482"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-45","cuteness_rating","cuteness","4","2172","2173"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-26","cuteness_rating","cuteness","3","1330","1330"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-12","cuteness_rating","cuteness","6","1547","1547"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-33","cuteness_rating","cuteness","7","1938","1938"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-35","cuteness_rating","cuteness","7","1200","1200"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-37","cuteness_rating","cuteness","6","2547","2547"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-30","cuteness_rating","cuteness","6","1210","1210"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-21","cuteness_rating","cuteness","6","2184","2184"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-13","cuteness_rating","cuteness","5","1605","1605"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-23","cuteness_rating","cuteness","6","2391","2391"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-24","cuteness_rating","cuteness","5","1811","1812"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-06","cuteness_rating","cuteness","6","2903","2903"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-18","cuteness_rating","cuteness","5","1879","1880"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-44","cuteness_rating","cuteness","4","2932","2932"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-22","cuteness_rating","cuteness","5","1534","1534"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-32","cuteness_rating","cuteness","5","1416","1416"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-15","cuteness_rating","cuteness","5","1604","1604"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-41","cuteness_rating","cuteness","6","2135","2135"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-25","cuteness_rating","cuteness","6","2517","2517"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-08","cuteness_rating","cuteness","5","1213","1214"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-10","cuteness_rating","cuteness","5","1263","1263"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-02","cuteness_rating","cuteness","6","2687","2687"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-01","cuteness_rating","cuteness","5","1361","1362"
"session-1777876169899-i6zn3r","25","여성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-27","cuteness_rating","cuteness","5","1719","1719"
