session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-14","cuteness_rating","cuteness","7","2955","2955"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-22","cuteness_rating","cuteness","7","1116","1116"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-26","cuteness_rating","cuteness","7","1133","1133"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-45","cuteness_rating","cuteness","7","850","850"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-21","cuteness_rating","cuteness","7","766","766"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-35","cuteness_rating","cuteness","7","800","800"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-37","cuteness_rating","cuteness","7","1133","1133"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-42","cuteness_rating","cuteness","7","850","850"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-19","cuteness_rating","cuteness","7","1266","1267"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-01","cuteness_rating","cuteness","7","1017","1017"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-43","cuteness_rating","cuteness","7","799","799"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-24","cuteness_rating","cuteness","7","817","817"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-25","cuteness_rating","cuteness","7","1067","1067"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-47","cuteness_rating","cuteness","6","1400","1400"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-50","cuteness_rating","cuteness","6","1500","1500"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-04","cuteness_rating","cuteness","7","967","967"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-36","cuteness_rating","cuteness","6","1250","1250"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-48","cuteness_rating","cuteness","4","3416","3416"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-17","cuteness_rating","cuteness","7","1217","1217"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-05","cuteness_rating","cuteness","6","1417","1417"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-10","cuteness_rating","cuteness","7","1534","1534"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-06","cuteness_rating","cuteness","7","867","867"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-23","cuteness_rating","cuteness","7","800","800"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-16","cuteness_rating","cuteness","7","783","783"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-03","cuteness_rating","cuteness","7","800","800"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-41","cuteness_rating","cuteness","7","916","917"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-34","cuteness_rating","cuteness","6","1450","1450"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-27","cuteness_rating","cuteness","7","1033","1033"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-30","cuteness_rating","cuteness","7","717","717"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-08","cuteness_rating","cuteness","7","750","750"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-20","cuteness_rating","cuteness","7","783","783"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","32","cute-18","cuteness_rating","cuteness","7","900","900"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","33","cute-15","cuteness_rating","cuteness","7","867","867"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","34","cute-28","cuteness_rating","cuteness","7","650","650"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","35","cute-38","cuteness_rating","cuteness","7","750","750"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","36","cute-07","cuteness_rating","cuteness","7","900","900"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","37","cute-12","cuteness_rating","cuteness","7","733","733"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","38","cute-13","cuteness_rating","cuteness","7","833","833"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","39","cute-39","cuteness_rating","cuteness","7","767","767"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","40","cute-46","cuteness_rating","cuteness","5","1683","1683"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","41","cute-11","cuteness_rating","cuteness","7","1000","1000"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","42","cute-33","cuteness_rating","cuteness","7","717","717"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","43","cute-44","cuteness_rating","cuteness","6","1566","1567"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","44","cute-32","cuteness_rating","cuteness","7","600","600"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","45","cute-09","cuteness_rating","cuteness","7","633","633"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","46","cute-02","cuteness_rating","cuteness","7","918","918"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","47","cute-49","cuteness_rating","cuteness","6","2533","2533"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","48","cute-29","cuteness_rating","cuteness","7","700","700"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","49","cute-31","cuteness_rating","cuteness","7","700","700"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","","","","stimulus","50","cute-40","cuteness_rating","cuteness","7","700","700"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","37766","38500"
"session-1777877976314-b2oeko","24","여성","대한민국","B","cute:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","3","6583","7617"
