session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-18","cuteness_rating","cuteness","5","6365","6365"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-16","cuteness_rating","cuteness","6","2160","2160"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-14","cuteness_rating","cuteness","5","3444","3444"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-34","cuteness_rating","cuteness","6","2508","2508"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-17","cuteness_rating","cuteness","5","3762","3762"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-11","cuteness_rating","cuteness","6","5304","5304"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-35","cuteness_rating","cuteness","3","4040","4040"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-06","cuteness_rating","cuteness","6","3576","3576"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-05","cuteness_rating","cuteness","5","1796","1796"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-12","cuteness_rating","cuteness","6","1810","1810"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-20","cuteness_rating","cuteness","2","2316","2316"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-31","cuteness_rating","cuteness","3","1710","1710"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","13","cute-42","cuteness_rating","cuteness","3","1796","1796"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","14","cute-15","cuteness_rating","cuteness","3","1338","1338"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","15","cute-46","cuteness_rating","cuteness","3","2084","2084"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","16","cute-01","cuteness_rating","cuteness","6","2120","2120"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","17","cute-09","cuteness_rating","cuteness","6","4148","4148"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","18","cute-26","cuteness_rating","cuteness","1","1580","1580"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","19","cute-02","cuteness_rating","cuteness","2","1640","1640"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","20","cute-07","cuteness_rating","cuteness","4","1626","1626"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","21","cute-23","cuteness_rating","cuteness","5","2608","2608"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","22","cute-10","cuteness_rating","cuteness","5","1354","1354"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","23","cute-44","cuteness_rating","cuteness","3","1540","1540"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","24","cute-49","cuteness_rating","cuteness","1","1726","1726"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","25","cute-50","cuteness_rating","cuteness","2","2260","2260"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","26","cute-19","cuteness_rating","cuteness","4","1456","1456"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","27","cute-48","cuteness_rating","cuteness","4","1918","1918"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","28","cute-37","cuteness_rating","cuteness","4","2926","2926"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","29","cute-21","cuteness_rating","cuteness","4","2168","2168"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","30","cute-41","cuteness_rating","cuteness","4","2284","2284"
"session-1777881190221-wuwy14","30","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","31","cute-47","cuteness_rating","cuteness","1","1408","1408"
