session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","1","cute-19","cuteness_rating","cuteness","5","2165","2166"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","2","cute-07","cuteness_rating","cuteness","5","3732","3733"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","3","cute-27","cuteness_rating","cuteness","5","1400","1400"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","4","cute-06","cuteness_rating","cuteness","5","1584","1584"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","5","cute-22","cuteness_rating","cuteness","5","1083","1083"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","6","cute-37","cuteness_rating","cuteness","6","1100","1100"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","7","cute-30","cuteness_rating","cuteness","6","900","900"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","8","cute-26","cuteness_rating","cuteness","6","1450","1450"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","9","cute-39","cuteness_rating","cuteness","5","1417","1417"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","10","cute-14","cuteness_rating","cuteness","4","1651","1651"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","11","cute-32","cuteness_rating","cuteness","4","1466","1466"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","12","cute-12","cuteness_rating","cuteness","3","1584","1584"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","13","cute-47","cuteness_rating","cuteness","3","1250","1250"
"session-1777883433656-y8etoh","30","남성","한국","B","cute:advantaged","server","","","","stimulus","14","cute-17","cuteness_rating","cuteness","3","1285","1285"
