session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-50","cuteness_rating","cuteness","5","2839","2839"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-22","cuteness_rating","cuteness","5","2416","2416"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-01","cuteness_rating","cuteness","4","2304","2304"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-06","cuteness_rating","cuteness","4","2704","2704"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-11","cuteness_rating","cuteness","2","2812","2812"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-10","cuteness_rating","cuteness","3","1668","1668"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-23","cuteness_rating","cuteness","4","3561","3561"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-32","cuteness_rating","cuteness","3","1895","1896"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-25","cuteness_rating","cuteness","4","2444","2444"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-39","cuteness_rating","cuteness","3","2177","2177"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-44","cuteness_rating","cuteness","3","2523","2524"
"session-1777884816612-akd723","27","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-19","cuteness_rating","cuteness","4","2968","2968"
