session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-33","cuteness_rating","cuteness","7","6696","6696"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-14","cuteness_rating","cuteness","7","3163","3163"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-29","cuteness_rating","cuteness","7","1205","1205"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-49","cuteness_rating","cuteness","5","2525","2526"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-21","cuteness_rating","cuteness","5","1267","1267"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-25","cuteness_rating","cuteness","6","1402","1402"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-12","cuteness_rating","cuteness","7","1399","1399"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-20","cuteness_rating","cuteness","5","1997","1997"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-07","cuteness_rating","cuteness","5","1289","1289"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-43","cuteness_rating","cuteness","5","1933","1933"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-01","cuteness_rating","cuteness","6","4007","4007"
"session-1777893757332-q7bj9y","22","남성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-22","cuteness_rating","cuteness","5","2080","2080"
