session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-04","cuteness_rating","cuteness","1","4426","4426"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-26","cuteness_rating","cuteness","2","1913","1913"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-06","cuteness_rating","cuteness","2","1796","1796"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-36","cuteness_rating","cuteness","1","1996","1996"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-10","cuteness_rating","cuteness","1","4095","4095"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-25","cuteness_rating","cuteness","2","1878","1878"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-01","cuteness_rating","cuteness","2","4360","4361"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-17","cuteness_rating","cuteness","1","1097","1097"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-48","cuteness_rating","cuteness","1","1249","1249"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-21","cuteness_rating","cuteness","1","1180","1180"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-12","cuteness_rating","cuteness","1","966","966"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-18","cuteness_rating","cuteness","1","1130","1130"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-43","cuteness_rating","cuteness","1","767","768"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-08","cuteness_rating","cuteness","2","1995","1996"
"session-1777897254842-wnz55y","26","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-30","cuteness_rating","cuteness","2","4808","4808"
