session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-33","cuteness_rating","cuteness","1","1748","1748"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-27","cuteness_rating","cuteness","1","637","637"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-44","cuteness_rating","cuteness","1","531","531"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-08","cuteness_rating","cuteness","1","416","417"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-12","cuteness_rating","cuteness","1","381","381"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-38","cuteness_rating","cuteness","1","316","316"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-17","cuteness_rating","cuteness","1","271","272"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-06","cuteness_rating","cuteness","1","316","316"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-23","cuteness_rating","cuteness","1","221","221"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-04","cuteness_rating","cuteness","1","337","337"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-05","cuteness_rating","cuteness","1","408","408"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-14","cuteness_rating","cuteness","1","290","290"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-35","cuteness_rating","cuteness","1","252","252"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-13","cuteness_rating","cuteness","1","331","331"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-41","cuteness_rating","cuteness","1","255","255"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-37","cuteness_rating","cuteness","1","192","192"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-25","cuteness_rating","cuteness","1","206","206"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-19","cuteness_rating","cuteness","1","315","316"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-09","cuteness_rating","cuteness","1","198","198"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-15","cuteness_rating","cuteness","1","195","196"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-07","cuteness_rating","cuteness","1","180","181"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-50","cuteness_rating","cuteness","1","225","225"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-49","cuteness_rating","cuteness","1","217","217"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-21","cuteness_rating","cuteness","1","193","193"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-40","cuteness_rating","cuteness","1","180","180"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-26","cuteness_rating","cuteness","1","188","188"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-43","cuteness_rating","cuteness","1","189","190"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-02","cuteness_rating","cuteness","1","175","175"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-16","cuteness_rating","cuteness","1","184","184"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-11","cuteness_rating","cuteness","1","191","191"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-01","cuteness_rating","cuteness","1","184","184"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-45","cuteness_rating","cuteness","1","164","164"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-30","cuteness_rating","cuteness","1","176","176"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-22","cuteness_rating","cuteness","1","189","189"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-48","cuteness_rating","cuteness","1","185","186"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-47","cuteness_rating","cuteness","1","177","177"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-03","cuteness_rating","cuteness","1","193","193"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-28","cuteness_rating","cuteness","1","170","170"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","39","neutral-20","cuteness_rating","cuteness","1","178","178"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","40","neutral-32","cuteness_rating","cuteness","1","178","178"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","41","neutral-18","cuteness_rating","cuteness","1","181","181"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","42","neutral-36","cuteness_rating","cuteness","1","182","182"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","43","neutral-24","cuteness_rating","cuteness","1","188","188"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","44","neutral-42","cuteness_rating","cuteness","1","168","168"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","45","neutral-31","cuteness_rating","cuteness","1","196","196"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","46","neutral-10","cuteness_rating","cuteness","1","168","168"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","47","neutral-29","cuteness_rating","cuteness","1","164","164"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","48","neutral-39","cuteness_rating","cuteness","1","181","181"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","49","neutral-34","cuteness_rating","cuteness","1","182","182"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","","","","stimulus","50","neutral-46","cuteness_rating","cuteness","1","169","169"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","7","1795","2761"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지원이는 지방 농촌 출신으로, 학자금 대출을 받아 대학에 다니고 있습니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","7","872","1144"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","7","683","952"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","정현이는 지방 소도시의 한부모 가정 출신입니다.  가정 형편이 어려워 학기 중 근로장학생으로 일하며 생활비를 마련하고 있습니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","7","665","1153"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","7","626","971"
"session-1777990478105-3qbjfz","22","남성","중국","A","neutral:disadvantaged","server","disadvantaged","불리한 조건","지민이는 기초생활수급 가정의 대학생으로, 생활비 대출을 받아 대학에 다니고 있습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","7","842","1165"
