session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","1","cute-37","cuteness_rating","cuteness","7","3779","3779"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","2","cute-04","cuteness_rating","cuteness","7","1218","1218"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","3","cute-12","cuteness_rating","cuteness","","","7007"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","4","cute-29","cuteness_rating","cuteness","7","1891","1891"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","5","cute-02","cuteness_rating","cuteness","7","2250","2250"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","6","cute-30","cuteness_rating","cuteness","7","900","900"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","7","cute-09","cuteness_rating","cuteness","7","818","818"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","8","cute-49","cuteness_rating","cuteness","6","1916","1916"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","9","cute-05","cuteness_rating","cuteness","7","2534","2534"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","10","cute-35","cuteness_rating","cuteness","6","3450","3450"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","11","cute-24","cuteness_rating","cuteness","5","2500","2500"
"session-1778038123485-fskh5g","23","남성","대한민국","B","cute:disadvantaged","server","","","","stimulus","12","cute-14","cuteness_rating","cuteness","7","1633","1633"
