session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","1","neutral-47","cuteness_rating","cuteness","3","3420","3420"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","2","neutral-02","cuteness_rating","cuteness","2","3405","3405"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","3","neutral-46","cuteness_rating","cuteness","5","2222","2222"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","4","neutral-17","cuteness_rating","cuteness","5","2587","2587"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","5","neutral-29","cuteness_rating","cuteness","4","4125","4125"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","6","neutral-24","cuteness_rating","cuteness","3","3203","3203"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","7","neutral-12","cuteness_rating","cuteness","5","1958","1958"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","8","neutral-33","cuteness_rating","cuteness","5","1777","1778"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","9","neutral-50","cuteness_rating","cuteness","6","1455","1455"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","10","neutral-42","cuteness_rating","cuteness","3","1630","1630"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","11","neutral-45","cuteness_rating","cuteness","3","2420","2420"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","12","neutral-08","cuteness_rating","cuteness","6","1942","1943"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","13","neutral-22","cuteness_rating","cuteness","6","2070","2070"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","14","neutral-19","cuteness_rating","cuteness","6","2040","2040"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","15","neutral-35","cuteness_rating","cuteness","4","2063","2063"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","16","neutral-23","cuteness_rating","cuteness","3","1973","1973"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","17","neutral-34","cuteness_rating","cuteness","3","2429","2430"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","18","neutral-09","cuteness_rating","cuteness","2","1620","1620"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","19","neutral-44","cuteness_rating","cuteness","5","2055","2055"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","20","neutral-05","cuteness_rating","cuteness","6","1830","1830"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","21","neutral-36","cuteness_rating","cuteness","3","2214","2214"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","22","neutral-37","cuteness_rating","cuteness","4","2451","2451"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","23","neutral-27","cuteness_rating","cuteness","7","2018","2018"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","24","neutral-01","cuteness_rating","cuteness","5","1695","1695"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","25","neutral-39","cuteness_rating","cuteness","2","2265","2265"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","26","neutral-26","cuteness_rating","cuteness","3","1545","1545"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","27","neutral-03","cuteness_rating","cuteness","2","1913","1913"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","28","neutral-06","cuteness_rating","cuteness","5","2490","2490"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","29","neutral-30","cuteness_rating","cuteness","3","1590","1590"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","30","neutral-15","cuteness_rating","cuteness","3","1568","1568"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","31","neutral-40","cuteness_rating","cuteness","4","1501","1501"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","32","neutral-07","cuteness_rating","cuteness","6","1461","1461"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","33","neutral-04","cuteness_rating","cuteness","3","2887","2887"
"session-1778117943528-af7yk9","24","남성","대한민국","A","neutral:advantaged","server","","","","stimulus","34","neutral-14","cuteness_rating","cuteness","4","1943","1943"
