session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","1","cute-14","cuteness_rating","cuteness","7","1999","1999"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","2","cute-22","cuteness_rating","cuteness","7","953","953"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","3","cute-45","cuteness_rating","cuteness","7","797","797"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","4","cute-33","cuteness_rating","cuteness","6","1664","1664"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","5","cute-29","cuteness_rating","cuteness","7","1542","1543"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","6","cute-13","cuteness_rating","cuteness","7","1178","1178"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","7","cute-37","cuteness_rating","cuteness","7","1304","1304"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","8","cute-46","cuteness_rating","cuteness","6","3533","3533"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","9","cute-41","cuteness_rating","cuteness","4","1577","1577"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","10","cute-01","cuteness_rating","cuteness","7","1267","1267"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","11","cute-38","cuteness_rating","cuteness","4","1700","1700"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","12","cute-42","cuteness_rating","cuteness","7","1127","1127"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","13","cute-31","cuteness_rating","cuteness","7","973","973"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","14","cute-24","cuteness_rating","cuteness","7","1344","1344"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","15","cute-05","cuteness_rating","cuteness","7","1072","1073"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","16","cute-28","cuteness_rating","cuteness","7","800","800"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","17","cute-07","cuteness_rating","cuteness","7","827","827"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","18","cute-43","cuteness_rating","cuteness","7","1073","1073"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","19","cute-49","cuteness_rating","cuteness","7","884","884"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","20","cute-12","cuteness_rating","cuteness","7","866","866"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","21","cute-19","cuteness_rating","cuteness","7","950","950"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","22","cute-18","cuteness_rating","cuteness","7","933","933"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","23","cute-09","cuteness_rating","cuteness","7","987","987"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","24","cute-10","cuteness_rating","cuteness","3","1597","1597"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","25","cute-30","cuteness_rating","cuteness","3","1033","1033"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","26","cute-36","cuteness_rating","cuteness","3","967","967"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","27","cute-16","cuteness_rating","cuteness","7","2727","2727"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","28","cute-03","cuteness_rating","cuteness","7","767","767"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","29","cute-34","cuteness_rating","cuteness","2","2156","2156"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","30","cute-47","cuteness_rating","cuteness","7","1150","1150"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","31","cute-20","cuteness_rating","cuteness","3","1717","1717"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","32","cute-50","cuteness_rating","cuteness","7","1285","1285"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","33","cute-11","cuteness_rating","cuteness","7","805","805"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","34","cute-21","cuteness_rating","cuteness","7","1065","1065"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","35","cute-25","cuteness_rating","cuteness","7","871","871"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","36","cute-44","cuteness_rating","cuteness","7","906","906"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","37","cute-02","cuteness_rating","cuteness","7","736","736"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","38","cute-23","cuteness_rating","cuteness","7","637","638"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","39","cute-06","cuteness_rating","cuteness","7","713","714"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","40","cute-17","cuteness_rating","cuteness","7","1138","1138"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","41","cute-32","cuteness_rating","cuteness","3","1810","1810"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","42","cute-04","cuteness_rating","cuteness","7","4475","4475"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","43","cute-48","cuteness_rating","cuteness","5","2415","2415"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","44","cute-35","cuteness_rating","cuteness","3","1312","1312"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","45","cute-26","cuteness_rating","cuteness","4","2228","2228"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","46","cute-15","cuteness_rating","cuteness","7","1273","1274"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","47","cute-40","cuteness_rating","cuteness","7","744","744"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","48","cute-39","cuteness_rating","cuteness","7","766","766"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","49","cute-27","cuteness_rating","cuteness","5","1625","1625"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","","","","stimulus","50","cute-08","cuteness_rating","cuteness","7","1499","1499"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","moral_judgment","2","19299","20948"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지원이는 대학생으로, 부모님이 사업을 하고 있어 가정 형편이 매우 넉넉합니다.","vignette","1","ai-exam-cheating","시나리오 1. AI 사용 부정행위","ses_judgment","6","6817","7521"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","moral_judgment","1","15312","15916"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","정현이의 부모님은 대기업 임원이며 교육수준이 높아, 가정 형편이 매우 넉넉합니다.","vignette","2","contest-outsourcing","시나리오 2. 공모전 결과물 외주","ses_judgment","7","2264","2999"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","moral_judgment","1","19497","20174"
"session-1778208851976-54az15","27","여성","대한민국","B","cute:advantaged","server","advantaged","유리한 조건","지민이는 서울 출신의 대학생으로, 부모님이 모두 대학교수여서 가정 형편이 좋습니다.","vignette","3","resume-fabrication","시나리오 3. 공개채용 이력서 허위 기재","ses_judgment","7","4593","5378"
