session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-40","cuteness_rating","cuteness","3","2891","2892"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-35","cuteness_rating","cuteness","2","1899","1899"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-13","cuteness_rating","cuteness","2","2311","2311"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-18","cuteness_rating","cuteness","3","2240","2240"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-15","cuteness_rating","cuteness","2","2327","2327"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-29","cuteness_rating","cuteness","2","2975","2975"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-32","cuteness_rating","cuteness","3","4637","4638"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-26","cuteness_rating","cuteness","1","5836","5836"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-27","cuteness_rating","cuteness","1","2389","2389"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-24","cuteness_rating","cuteness","3","2021","2021"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-21","cuteness_rating","cuteness","3","2861","2861"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-09","cuteness_rating","cuteness","2","2144","2144"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-10","cuteness_rating","cuteness","1","4410","4410"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-39","cuteness_rating","cuteness","1","1085","1085"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-25","cuteness_rating","cuteness","2","1741","1741"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-41","cuteness_rating","cuteness","3","2039","2039"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-31","cuteness_rating","cuteness","3","2896","2896"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-30","cuteness_rating","cuteness","1","1977","1978"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-44","cuteness_rating","cuteness","3","2608","2608"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-47","cuteness_rating","cuteness","2","1278","1278"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-05","cuteness_rating","cuteness","3","3097","3097"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-12","cuteness_rating","cuteness","1","2284","2284"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-22","cuteness_rating","cuteness","1","1006","1006"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-17","cuteness_rating","cuteness","1","1356","1356"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-08","cuteness_rating","cuteness","2","5293","5293"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-36","cuteness_rating","cuteness","1","1611","1611"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-14","cuteness_rating","cuteness","1","1339","1339"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-37","cuteness_rating","cuteness","2","3885","3885"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-45","cuteness_rating","cuteness","1","1479","1479"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-16","cuteness_rating","cuteness","3","1941","1941"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-43","cuteness_rating","cuteness","1","3430","3430"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-04","cuteness_rating","cuteness","2","1557","1557"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-06","cuteness_rating","cuteness","1","1689","1689"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-02","cuteness_rating","cuteness","3","3728","3728"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","35","neutral-33","cuteness_rating","cuteness","2","1995","1995"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","36","neutral-38","cuteness_rating","cuteness","1","1234","1234"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","37","neutral-42","cuteness_rating","cuteness","1","4139","4139"
"session-1778216536491-r1zpw9","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","38","neutral-07","cuteness_rating","cuteness","4","3072","3072"
